"node_id","module","layer_id","flow","type","species"
175,19,5,5.2798e-05,"pollinator","Malthinus_mutabilis"
176,32,4,0.000347654,"pollinator","Megachile_canariensis"
176,32,7,0.000489947,"pollinator","Megachile_canariensis"
177,9,6,4.08086e-05,"pollinator","Megaselia_sp._1"
178,3,5,0.000507191,"pollinator","Megaselia_sp._2"
179,35,3,3.71322e-05,"pollinator","Melecta_curvispina"
180,55,1,0.000111118,"pollinator","Melecta_sp."
181,34,5,0.00058976,"pollinator","Meligethes_canariensis"
182,58,4,0.000144727,"pollinator","Meligethes_cf._canariensis"
183,1,2,8.48561e-06,"pollinator","Milichiidae_sp."
184,1,5,1.01942e-05,"pollinator","Minotetrastichus_sp."
185,29,4,3.88148e-05,"pollinator","Monomorium_subopacum"
186,6,4,4.1882e-05,"pollinator","Mordellistena_cf._canariensis"
187,25,1,0.00156808,"pollinator","Musca_domestica"
187,25,3,0.00185388,"pollinator","Musca_domestica"
187,25,4,0.00178754,"pollinator","Musca_domestica"
187,25,5,0.00179292,"pollinator","Musca_domestica"
187,25,6,0.00169723,"pollinator","Musca_domestica"
188,87,1,0.000205376,"pollinator","Musca_osiris"
188,87,2,0.000194447,"pollinator","Musca_osiris"
189,1,1,0.00011495,"pollinator","Musca_sorbens"
190,65,5,0.000326743,"pollinator","Myathropa_florea"
190,65,7,0.000471407,"pollinator","Myathropa_florea"
191,6,7,3.99558e-05,"pollinator","Mycetophilidae_sp._1"
192,11,4,0.00225899,"pollinator","Myopites_nigrescens"
192,11,6,0.00180189,"pollinator","Myopites_nigrescens"
192,11,7,0.00271199,"pollinator","Myopites_nigrescens"
193,82,5,0.000218963,"pollinator","Neodryophilus_cryptophagoides"
193,82,7,0.000222732,"pollinator","Neodryophilus_cryptophagoides"
194,30,1,0.00187804,"pollinator","Nomioides_deceptor"
195,58,4,0.000144727,"pollinator","Nomioides_fortunatus"
196,5,1,0.000331889,"pollinator","Nomioides_sp."
197,78,2,0.000211673,"pollinator","Nyctia_lugubris"
197,78,6,0.000260294,"pollinator","Nyctia_lugubris"
198,3,1,3.2577e-05,"pollinator","Ormyrus_sp._1"
199,61,3,0.000585047,"pollinator","Oscinella_sp._1"
199,61,4,0.000408279,"pollinator","Oscinella_sp._1"
200,1,4,4.65948e-05,"pollinator","Oscinella_sp._2"
201,50,2,0.000154194,"pollinator","Oscinimorpha_sp."
202,32,3,0.00101303,"pollinator","Osmia_canaria"
202,32,7,0.000746033,"pollinator","Osmia_canaria"
203,3,3,0.000307775,"pollinator","Osmia_latreillei"
203,3,6,0.000266272,"pollinator","Osmia_latreillei"
204,10,4,5.63927e-05,"pollinator","Oxyopes_cf._kraepelinorum"
205,1,6,1.63095e-05,"pollinator","Oxyopes_kraepelinorum"
206,3,1,0.000297937,"pollinator","Paragus_tibialis"
206,3,2,0.000246082,"pollinator","Paragus_tibialis"
207,68,6,0.000322097,"pollinator","Paratrechina_longicornis"
207,68,7,0.000269977,"pollinator","Paratrechina_longicornis"
208,34,7,6.47369e-05,"pollinator","Perilampus_sp._1"
209,6,7,1.99779e-05,"pollinator","Perilampus_sp._2"
210,27,2,0.000242343,"pollinator","Phalacrus_coruscus"
210,27,7,0.000345531,"pollinator","Phalacrus_coruscus"
211,34,3,0.000624139,"pollinator","Phthiria_simonyi"
211,34,5,0.000787211,"pollinator","Phthiria_simonyi"
211,34,7,0.000647005,"pollinator","Phthiria_simonyi"
212,86,1,0.000196362,"pollinator","Physiphora_alceae"
212,86,4,0.000207033,"pollinator","Physiphora_alceae"
213,6,4,0.000125646,"pollinator","Phyto_discrepans"
214,1,2,8.48561e-06,"pollinator","Phyto_nigrobarbata"
215,66,3,0.00042823,"pollinator","Pieris_rapae"
215,66,6,0.000349232,"pollinator","Pieris_rapae"
216,17,1,0.00314889,"pollinator","Plagiolepis_schmitzii"
216,17,2,0.00493546,"pollinator","Plagiolepis_schmitzii"
216,17,4,0.00290144,"pollinator","Plagiolepis_schmitzii"
216,17,6,0.00395265,"pollinator","Plagiolepis_schmitzii"
217,38,3,0.00123492,"pollinator","Plagiolepis_sp._2"
217,38,4,0.00183835,"pollinator","Plagiolepis_sp._2"
217,38,5,0.0016219,"pollinator","Plagiolepis_sp._2"
218,77,4,0.000243875,"pollinator","Platypalpus_sp."
218,77,5,0.000249157,"pollinator","Platypalpus_sp."
219,88,2,0.000184602,"pollinator","Platypalpus_sp._1"
219,88,6,0.000190837,"pollinator","Platypalpus_sp._1"
220,6,4,4.1882e-05,"pollinator","Platypalpus_sp._2"
221,30,1,6.05812e-05,"pollinator","Podalonia_sp."
222,30,1,0.00010532,"pollinator","Proconura_sp._1"
223,3,2,2.54824e-05,"pollinator","Proconura_sp._2"
224,10,5,4.6721e-05,"pollinator","Pteromalus_sp._1"
225,3,1,0.000303845,"pollinator","Pteromalus_sp._2"
225,3,2,0.000426781,"pollinator","Pteromalus_sp._2"
226,11,4,0.000326507,"pollinator","Pteromalus_sp._3"
226,11,7,0.000415154,"pollinator","Pteromalus_sp._3"
227,10,4,0.000368206,"pollinator","Pteromalus_sp._4"
227,10,5,0.000321791,"pollinator","Pteromalus_sp._4"
