"module","node_id","layer_id","flow","type","species","size_of_module"
30,85,3,3.73786e-05,"pollinator","Bombylius_pintuarius",11
30,159,3,0.000299029,"pollinator","Hylaeus_hohmanni",11
30,40,4,0.000325232,"pollinator","Agromyzidae_sp._1",11
30,199,3,0.000577024,"pollinator","Oscinella_sp._1",11
30,179,3,3.73786e-05,"pollinator","Melecta_curvispina",11
30,149,3,3.73786e-05,"pollinator","Exhyalanthrax_canarionae",11
30,199,4,0.000398802,"pollinator","Oscinella_sp._1",11
30,40,3,0.000277335,"pollinator","Agromyzidae_sp._1",11
30,52,3,0.000286494,"pollinator","Andrena_vulcana",11
31,254,5,0.00144552,"pollinator","Syritta_pipiens",5
31,254,7,0.000874004,"pollinator","Syritta_pipiens",5
31,254,4,0.000880552,"pollinator","Syritta_pipiens",5
31,166,5,0.000392261,"pollinator","Leptochilus_cruentatus",5
31,30,5,0.00280884,"plant","Parolinia.intermedia",5
32,266,4,0.00203119,"pollinator","Themnothorax_hesperius",7
32,266,5,0.00112109,"pollinator","Themnothorax_hesperius",7
32,158,5,0.000142396,"pollinator","Hylaeus_ater",7
32,13,5,0.00148129,"plant","Frankenia.laevis",7
32,185,4,3.9372e-05,"pollinator","Monomorium_subopacum",7
32,13,4,0.00154115,"plant","Frankenia.laevis",7
32,46,4,2.53107e-05,"pollinator","Ammophila_terminata",7
33,25,3,0.0005842,"plant","Lotus.spartioides",7
33,21,7,0.00271351,"plant","Lotus.glaucus",7
33,202,7,0.000769159,"pollinator","Osmia_canaria",7
33,176,7,0.000492768,"pollinator","Megachile_canariensis",7
33,162,7,0.000242736,"pollinator","Lasioglossum_arctifrons",7
33,202,3,0.00103626,"pollinator","Osmia_canaria",7
33,176,4,0.000350239,"pollinator","Megachile_canariensis",7
34,34,4,0.00155901,"plant","Plocama.pendula",3
34,34,3,0.0028399,"plant","Plocama.pendula",3
34,34,6,0.00157784,"plant","Plocama.pendula",3
35,181,5,0.000595592,"pollinator","Meligethes_canariensis",7
35,211,3,0.000639016,"pollinator","Phthiria_simonyi",7
35,211,5,0.000786653,"pollinator","Phthiria_simonyi",7
35,5,7,0.00130127,"plant","Ceballosia.fruticosa",7
35,5,5,0.00157053,"plant","Ceballosia.fruticosa",7
35,211,7,0.000654377,"pollinator","Phthiria_simonyi",7
35,208,7,6.50795e-05,"pollinator","Perilampus_sp._1",7
36,14,2,0.00202882,"plant","Helianthemum.canariensis",5
36,145,2,0.000294893,"pollinator","Eurytoma_sp._1",5
36,14,1,0.00120068,"plant","Helianthemum.canariensis",5
36,14,4,0.00148156,"plant","Helianthemum.canariensis",5
36,145,4,0.00032101,"pollinator","Eurytoma_sp._1",5
37,217,3,0.00122182,"pollinator","Plagiolepis_sp._2",3
37,217,5,0.00157195,"pollinator","Plagiolepis_sp._2",3
37,217,4,0.00178048,"pollinator","Plagiolepis_sp._2",3
38,56,3,0.00108351,"pollinator","Anthophora_orotavae",4
38,56,6,0.00112452,"pollinator","Anthophora_orotavae",4
38,56,4,0.00115248,"pollinator","Anthophora_orotavae",4
38,56,5,0.0011867,"pollinator","Anthophora_orotavae",4
39,235,2,0.00114785,"pollinator","Sarcophagidae_sp._5",4
39,235,3,0.00106142,"pollinator","Sarcophagidae_sp._5",4
39,235,4,0.00109462,"pollinator","Sarcophagidae_sp._5",4
39,235,6,0.00102737,"pollinator","Sarcophagidae_sp._5",4
40,141,5,0.00119563,"pollinator","Eumerus_latitarsis",3
40,141,6,0.00152664,"pollinator","Eumerus_latitarsis",3
40,141,7,0.00111174,"pollinator","Eumerus_latitarsis",3
41,270,7,0.000917261,"pollinator","Thomisus_cf._onustus",4
41,270,6,0.000931436,"pollinator","Thomisus_cf._onustus",4
41,270,3,0.000924762,"pollinator","Thomisus_cf._onustus",4
41,270,5,0.000910661,"pollinator","Thomisus_cf._onustus",4
42,126,7,0.00104591,"pollinator","Dasytes_subaenescens",3
42,126,5,0.00162875,"pollinator","Dasytes_subaenescens",3
42,126,6,0.00100165,"pollinator","Dasytes_subaenescens",3
43,138,5,0.001262,"pollinator","Estheria_simonyi",3
43,138,7,0.00125798,"pollinator","Estheria_simonyi",3
43,138,6,0.00102001,"pollinator","Estheria_simonyi",3
44,99,1,0.000346491,"pollinator","Chalicodoma_sicula",5
44,99,2,0.000324803,"pollinator","Chalicodoma_sicula",5
44,24,1,0.00161532,"plant","Lotus.sp.",5
44,261,1,0.000533535,"pollinator","Tethinidae_sp._1",5
44,262,1,0.000675616,"pollinator","Tethinidae_sp._2",5
45,16,5,0.000806233,"plant","Kickxia.scoparia",4
45,16,3,0.000986005,"plant","Kickxia.scoparia",4
45,16,6,0.00107495,"plant","Kickxia.scoparia",4
45,268,3,0.000262554,"pollinator","Themnothorax_risii",4
46,98,6,0.00109606,"pollinator","Chalicodoma_canescens",3
46,98,4,0.000859453,"pollinator","Chalicodoma_canescens",3
46,98,7,0.000995091,"pollinator","Chalicodoma_canescens",3
47,243,7,0.000869686,"pollinator","Sciaridae_sp._1",3
47,243,6,0.000728846,"pollinator","Sciaridae_sp._1",3
47,243,4,0.00076787,"pollinator","Sciaridae_sp._1",3
48,276,3,0.000658,"pollinator","Thysanoptera_sp._3",4
48,276,5,0.000684397,"pollinator","Thysanoptera_sp._3",4
48,276,4,0.00064217,"pollinator","Thysanoptera_sp._3",4
48,6,5,0.000380937,"plant","Ceropegia.dichotoma",4
49,84,6,0.000931136,"pollinator","Blaesoxipha_sp._1",3
49,84,4,0.000708412,"pollinator","Blaesoxipha_sp._1",3
49,84,2,0.000707086,"pollinator","Blaesoxipha_sp._1",3
50,15,1,0.000881672,"plant","Kickxia.heterophylla",4
50,155,2,0.000155153,"pollinator","Goniozus_sp.",4
50,15,2,0.0011177,"plant","Kickxia.heterophylla",4
50,201,2,0.000155153,"pollinator","Oscinimorpha_sp.",4
51,22,2,0.00035928,"plant","Lotus.lancerottensis",5
51,91,2,0.000738292,"pollinator","Camponotus_cfr._feae",5
51,264,2,0.00013006,"pollinator","Tetramesa_sp.",5
51,105,2,0.000142089,"pollinator","Chloropidae_sp._1",5
51,32,2,0.000716097,"plant","Phagnalon.purpurascens",5
52,140,5,0.000662777,"pollinator","Euderus_sp.",3
52,140,4,0.000670041,"pollinator","Euderus_sp.",3
52,140,7,0.000736828,"pollinator","Euderus_sp.",3
53,239,3,0.000669385,"pollinator","Scaeva_albomaculata",3
53,239,7,0.000626667,"pollinator","Scaeva_albomaculata",3
53,239,6,0.000751795,"pollinator","Scaeva_albomaculata",3
54,136,7,0.00060674,"pollinator","Eristalinus_taeniops",3
54,136,4,0.000728174,"pollinator","Eristalinus_taeniops",3
54,136,3,0.000620103,"pollinator","Eristalinus_taeniops",3
55,39,1,0.000910218,"plant","Zilla.spinosa",6
55,161,1,0.000111821,"pollinator","Hym._Waiting<85>.",6
55,86,1,0.000172317,"pollinator","Bombylius_sp._1",6
55,180,1,0.000111821,"pollinator","Melecta_sp.",6
55,100,1,0.000218528,"pollinator","Chalicodoma_sp.",6
55,271,1,0.000209497,"pollinator","Thyreus_sp._aff._ramosus",6
56,255,7,0.000556519,"pollinator","Tachina_canariensis",2
56,255,6,0.00100987,"pollinator","Tachina_canariensis",2
57,234,2,0.000381875,"pollinator","Sarcophagidae_sp._4",3
57,36,2,0.000657829,"plant","Salvia.aegyptiaca",3
57,36,6,0.000430742,"plant","Salvia.aegyptiaca",3
58,182,4,0.000145521,"pollinator","Meligethes_cf._canariensis",3
58,195,4,0.000145521,"pollinator","Nomioides_fortunatus",3
58,23,4,0.000884994,"plant","Lotus.sessilifolius",3
59,37,7,0.000403695,"plant","Satureja.kuegleri",3
59,37,4,0.000702596,"plant","Satureja.kuegleri",3
