"trial_number","layer_from","layer_to","turnover"
36,6,7,0.245283018867925
37,1,2,0.113821138211382
37,1,3,0.0983606557377049
37,1,4,0.0985915492957746
37,1,5,0.079136690647482
37,1,6,0.094488188976378
37,1,7,0.0703125
37,2,3,0.154545454545455
37,2,4,0.173228346456693
37,2,5,0.108527131782946
37,2,6,0.157894736842105
37,2,7,0.111111111111111
37,3,4,0.258620689655172
37,3,5,0.228070175438596
37,3,6,0.228571428571429
37,3,7,0.20952380952381
37,4,5,0.236641221374046
37,4,6,0.237704918032787
37,4,7,0.173228346456693
37,5,6,0.198347107438017
37,5,7,0.222222222222222
37,6,7,0.233644859813084
38,1,2,0.122950819672131
38,1,3,0.0634920634920635
38,1,4,0.0909090909090909
38,1,5,0.102941176470588
38,1,6,0.0692307692307692
38,1,7,0.062015503875969
38,2,3,0.154545454545455
38,2,4,0.155038759689922
38,2,5,0.134920634920635
38,2,6,0.147826086956522
38,2,7,0.120689655172414
38,3,4,0.280701754385965
38,3,5,0.228070175438596
38,3,6,0.240384615384615
38,3,7,0.19811320754717
38,4,5,0.296
38,4,6,0.237704918032787
38,4,7,0.173228346456693
38,5,6,0.188524590163934
38,5,7,0.201680672268908
38,6,7,0.222222222222222
39,1,2,0.096
39,1,3,0.0894308943089431
39,1,4,0.0985915492957746
39,1,5,0.111111111111111
39,1,6,0.0775193798449612
39,1,7,0.0538461538461538
39,2,3,0.165137614678899
39,2,4,0.146153846153846
39,2,5,0.108527131782946
39,2,6,0.189189189189189
39,2,7,0.092436974789916
39,3,4,0.269565217391304
39,3,5,0.238938053097345
39,3,6,0.252427184466019
39,3,7,0.175925925925926
39,4,5,0.285714285714286
39,4,6,0.258333333333333
39,4,7,0.155038759689922
39,5,6,0.198347107438017
39,5,7,0.211864406779661
39,6,7,0.222222222222222
40,1,2,0.113821138211382
40,1,3,0.072
40,1,4,0.0833333333333333
40,1,5,0.0948905109489051
40,1,6,0.0775193798449612
40,1,7,0.0378787878787879
40,2,3,0.165137614678899
40,2,4,0.146153846153846
40,2,5,0.1171875
40,2,6,0.168141592920354
40,2,7,0.120689655172414
40,3,4,0.280701754385965
40,3,5,0.25
40,3,6,0.252427184466019
40,3,7,0.19811320754717
40,4,5,0.275590551181102
40,4,6,0.258333333333333
40,4,7,0.173228346456693
40,5,6,0.188524590163934
40,5,7,0.211864406779661
40,6,7,0.222222222222222
41,1,2,0.104838709677419
41,1,3,0.0634920634920635
41,1,4,0.0909090909090909
41,1,5,0.0869565217391304
41,1,6,0.094488188976378
41,1,7,0.0703125
41,2,3,0.165137614678899
41,2,4,0.128787878787879
41,2,5,0.108527131782946
41,2,6,0.178571428571429
41,2,7,0.111111111111111
41,3,4,0.226890756302521
41,3,5,0.228070175438596
41,3,6,0.264705882352941
41,3,7,0.19811320754717
41,4,5,0.275590551181102
41,4,6,0.258333333333333
41,4,7,0.173228346456693
41,5,6,0.198347107438017
41,5,7,0.222222222222222
41,6,7,0.257142857142857
42,1,2,0.113821138211382
42,1,3,0.0983606557377049
42,1,4,0.0985915492957746
42,1,5,0.0948905109489051
42,1,6,0.0859375
42,1,7,0.0538461538461538
42,2,3,0.144144144144144
42,2,4,0.155038759689922
42,2,5,0.134920634920635
42,2,6,0.168141592920354
42,2,7,0.092436974789916
42,3,4,0.247863247863248
42,3,5,0.217391304347826
42,3,6,0.264705882352941
42,3,7,0.19811320754717
42,4,5,0.296
42,4,6,0.247933884297521
42,4,7,0.173228346456693
42,5,6,0.178861788617886
42,5,7,0.191666666666667
42,6,7,0.233644859813084
43,1,2,0.122950819672131
43,1,3,0.0634920634920635
43,1,4,0.0909090909090909
43,1,5,0.079136690647482
43,1,6,0.0859375
43,1,7,0.0458015267175573
43,2,3,0.154545454545455
43,2,4,0.146153846153846
43,2,5,0.1171875
43,2,6,0.168141592920354
43,2,7,0.101694915254237
43,3,4,0.247863247863248
43,3,5,0.238938053097345
43,3,6,0.264705882352941
43,3,7,0.19811320754717
43,4,5,0.275590551181102
43,4,6,0.258333333333333
43,4,7,0.173228346456693
43,5,6,0.208333333333333
43,5,7,0.211864406779661
43,6,7,0.257142857142857
44,1,2,0.104838709677419
44,1,3,0.0634920634920635
44,1,4,0.0833333333333333
44,1,5,0.0948905109489051
44,1,6,0.094488188976378
44,1,7,0.0538461538461538
44,2,3,0.144144144144144
44,2,4,0.137404580152672
44,2,5,0.108527131782946
44,2,6,0.189189189189189
44,2,7,0.111111111111111
44,3,4,0.258620689655172
44,3,5,0.228070175438596
44,3,6,0.240384615384615
44,3,7,0.221153846153846
44,4,5,0.285714285714286
44,4,6,0.237704918032787
44,4,7,0.173228346456693
44,5,6,0.198347107438017
44,5,7,0.211864406779661
44,6,7,0.269230769230769
45,1,2,0.122950819672131
45,1,3,0.072
45,1,4,0.0909090909090909
45,1,5,0.079136690647482
45,1,6,0.0859375
45,1,7,0.062015503875969
45,2,3,0.165137614678899
