"layer_name","module","size_of_module","count","tot_island"
"TenerifeTeno","26",4,1,4
"Fuerteventura","26",4,1,4
"Gomera","28",4,1,4
"GranCanaria","28",4,1,4
"TenerifeSouth","28",4,1,4
"TenerifeTeno","28",4,1,4
"WesternSahara","29",4,1,4
"Hierro","29",4,1,4
"Fuerteventura","29",4,1,4
"TenerifeTeno","29",4,1,4
"GranCanaria","31",4,1,4
"TenerifeSouth","31",4,1,4
"Gomera","31",4,1,4
"Fuerteventura","31",4,1,4
"GranCanaria","32",4,1,4
"TenerifeTeno","32",4,1,4
"Hierro","32",4,1,4
"Gomera","32",4,1,4
"TenerifeSouth","7",19,1,3
"TenerifeTeno","7",19,1,3
"Gomera","7",19,1,3
"WesternSahara","27",7,1,3
"TenerifeSouth","27",7,1,3
"Fuerteventura","27",7,1,3
"Hierro","30",8,1,3
"Fuerteventura","30",8,1,3
"Gomera","30",8,1,3
"GranCanaria","33",7,1,3
"Hierro","33",7,1,3
"TenerifeTeno","33",7,1,3
"Hierro","35",7,1,3
"GranCanaria","35",7,1,3
"TenerifeSouth","35",7,1,3
"GranCanaria","38",3,1,3
"Gomera","38",3,1,3
"TenerifeSouth","38",3,1,3
"GranCanaria","39",4,1,3
"Gomera","39",4,1,3
"TenerifeTeno","39",4,1,3
"GranCanaria","40",4,1,3
"TenerifeTeno","40",4,1,3
"TenerifeSouth","40",4,1,3
"TenerifeSouth","41",3,1,3
"TenerifeTeno","41",3,1,3
"GranCanaria","41",3,1,3
"TenerifeSouth","42",3,1,3
"Hierro","42",3,1,3
"Gomera","42",3,1,3
"Gomera","43",3,1,3
"Hierro","43",3,1,3
"TenerifeTeno","43",3,1,3
"Gomera","44",3,1,3
"TenerifeTeno","44",3,1,3
"Hierro","44",3,1,3
"TenerifeTeno","45",3,1,3
"Gomera","45",3,1,3
"Hierro","45",3,1,3
"TenerifeSouth","46",3,1,3
"TenerifeTeno","46",3,1,3
"Hierro","46",3,1,3
"Fuerteventura","47",3,1,3
"TenerifeSouth","47",3,1,3
"Gomera","47",3,1,3
"GranCanaria","48",3,1,3
"Hierro","48",3,1,3
"Gomera","48",3,1,3
"Hierro","49",3,1,3
"TenerifeSouth","49",3,1,3
"Gomera","49",3,1,3
"TenerifeSouth","50",3,1,3
"Hierro","50",3,1,3
"GranCanaria","50",3,1,3
"GranCanaria","34",9,1,2
"TenerifeSouth","34",9,1,2
"WesternSahara","36",9,1,2
"TenerifeTeno","36",9,1,2
"TenerifeTeno","37",7,1,2
"TenerifeSouth","37",7,1,2
"WesternSahara","51",5,1,2
"Fuerteventura","51",5,1,2
"WesternSahara","52",4,1,2
"Fuerteventura","52",4,1,2
"Fuerteventura","53",4,1,2
"Gomera","53",4,1,2
"TenerifeSouth","56",3,1,2
"Hierro","56",3,1,2
"TenerifeSouth","57",3,1,2
"TenerifeTeno","57",3,1,2
"Gomera","59",2,1,2
"Hierro","59",2,1,2
"Fuerteventura","61",2,1,2
"TenerifeTeno","61",2,1,2
"Hierro","62",2,1,2
"GranCanaria","62",2,1,2
"Gomera","63",2,1,2
"TenerifeSouth","63",2,1,2
"Hierro","64",2,1,2
"TenerifeTeno","64",2,1,2
"TenerifeSouth","65",2,1,2
"GranCanaria","65",2,1,2
"TenerifeSouth","66",2,1,2
"GranCanaria","66",2,1,2
"Gomera","67",2,1,2
"GranCanaria","67",2,1,2
"GranCanaria","68",2,1,2
"TenerifeSouth","68",2,1,2
"GranCanaria","69",2,1,2
"Fuerteventura","69",2,1,2
"TenerifeTeno","70",2,1,2
"TenerifeSouth","70",2,1,2
"Fuerteventura","71",2,1,2
"Gomera","71",2,1,2
"Hierro","72",2,1,2
"Gomera","72",2,1,2
"Gomera","73",2,1,2
"Hierro","73",2,1,2
"GranCanaria","74",2,1,2
"TenerifeTeno","74",2,1,2
"TenerifeTeno","75",2,1,2
"TenerifeSouth","75",2,1,2
"TenerifeTeno","76",2,1,2
"Hierro","76",2,1,2
"Gomera","77",2,1,2
"Hierro","77",2,1,2
"Fuerteventura","78",2,1,2
"WesternSahara","78",2,1,2
"WesternSahara","79",2,1,2
"TenerifeSouth","79",2,1,2
"Gomera","80",2,1,2
"Fuerteventura","80",2,1,2
"GranCanaria","81",2,1,2
"Fuerteventura","81",2,1,2
"TenerifeSouth","82",2,1,2
"TenerifeTeno","82",2,1,2
"Fuerteventura","54",5,1,1
"WesternSahara","55",5,1,1
"TenerifeTeno","58",3,1,1
"TenerifeSouth","60",3,1,1
"WesternSahara","83",3,1,1
