"layer_from","layer_to","ave","sd","ave_dist","trial","mean_dist_in_km"
1,5,0.181818181818182,NA,389094.179225,"0.2",389.094179225
1,6,0.19047619047619,NA,390008.86975,"0.2",390.00886975
1,7,0.176470588235294,NA,437371.016375,"0.2",437.371016375
2,3,0.526315789473684,NA,190474.59875,"0.2",190.47459875
2,4,0.35,NA,284225.3518,"0.2",284.2253518
2,5,0.363636363636364,NA,337055.48055,"0.2",337.05548055
2,6,0.380952380952381,NA,376892.630125,"0.2",376.892630125
2,7,0.2,NA,455676.643375,"0.2",455.676643375
3,4,0.454545454545455,NA,116460.649125,"0.2",116.460649125
3,5,0.458333333333333,NA,173858.830325,"0.2",173.858830325
3,6,0.545454545454545,NA,200274.260075,"0.2",200.274260075
3,7,0.318181818181818,NA,274346.546,"0.2",274.346546
4,5,0.571428571428571,NA,57464.1820425,"0.2",57.4641820425
4,6,0.6,NA,92999.56344,"0.2",92.99956344
4,7,0.285714285714286,NA,172763.448,"0.2",172.763448
5,6,0.666666666666667,NA,52751.492455,"0.2",52.751492455
5,7,0.578947368421053,NA,129414.4136,"0.2",129.4144136
6,7,0.526315789473684,NA,80112.73198,"0.2",80.11273198
1,2,0.235294117647059,NA,305248.84735,"0.3",305.24884735
1,3,0.227272727272727,NA,244280.590775,"0.3",244.280590775
1,4,0.181818181818182,NA,339381.7762,"0.3",339.3817762
1,5,0.173913043478261,NA,389094.179225,"0.3",389.094179225
1,6,0.173913043478261,NA,390008.86975,"0.3",390.00886975
1,7,0.111111111111111,NA,437371.016375,"0.3",437.371016375
2,3,0.523809523809524,NA,190474.59875,"0.3",190.47459875
2,4,0.347826086956522,NA,284225.3518,"0.3",284.2253518
2,5,0.333333333333333,NA,337055.48055,"0.3",337.05548055
2,6,0.333333333333333,NA,376892.630125,"0.3",376.892630125
2,7,0.19047619047619,NA,455676.643375,"0.3",455.676643375
3,4,0.48,NA,116460.649125,"0.3",116.460649125
3,5,0.461538461538462,NA,173858.830325,"0.3",173.858830325
3,6,0.583333333333333,NA,200274.260075,"0.3",200.274260075
3,7,0.291666666666667,NA,274346.546,"0.3",274.346546
4,5,0.608695652173913,NA,57464.1820425,"0.3",57.4641820425
4,6,0.608695652173913,NA,92999.56344,"0.3",92.99956344
4,7,0.304347826086957,NA,172763.448,"0.3",172.763448
5,6,0.652173913043478,NA,52751.492455,"0.3",52.751492455
5,7,0.55,NA,129414.4136,"0.3",129.4144136
6,7,0.476190476190476,NA,80112.73198,"0.3",80.11273198
1,2,0.210526315789474,NA,305248.84735,"0.4",305.24884735
1,3,0.192307692307692,NA,244280.590775,"0.4",244.280590775
1,4,0.115384615384615,NA,339381.7762,"0.4",339.3817762
1,5,0.107142857142857,NA,389094.179225,"0.4",389.094179225
1,6,0.107142857142857,NA,390008.86975,"0.4",390.00886975
1,7,0.0833333333333333,NA,437371.016375,"0.4",437.371016375
2,3,0.5,NA,190474.59875,"0.4",190.47459875
2,4,0.36,NA,284225.3518,"0.4",284.2253518
2,5,0.384615384615385,NA,337055.48055,"0.4",337.05548055
2,6,0.384615384615385,NA,376892.630125,"0.4",376.892630125
2,7,0.291666666666667,NA,455676.643375,"0.4",455.676643375
3,4,0.5,NA,116460.649125,"0.4",116.460649125
3,5,0.466666666666667,NA,173858.830325,"0.4",173.858830325
3,6,0.517241379310345,NA,200274.260075,"0.4",200.274260075
3,7,0.344827586206897,NA,274346.546,"0.4",274.346546
4,5,0.615384615384615,NA,57464.1820425,"0.4",57.4641820425
4,6,0.555555555555556,NA,92999.56344,"0.4",92.99956344
4,7,0.37037037037037,NA,172763.448,"0.4",172.763448
