"layer_from","layer_to","ave","sd","mean_distance","type","mean_dist_in_km"
1,3,0.0605364211081316,0.0586873469197873,244280.590775,"null_both",244.280590775
1,4,0.050483498763878,0.0539969889093925,339381.7762,"null_both",339.3817762
1,5,0.0547967077985654,0.0589554240578822,389094.179225,"null_both",389.094179225
1,6,0.0417864229724524,0.0505737843672121,390008.86975,"null_both",390.00886975
1,7,0.0233451756576757,0.0430023551306877,437371.016375,"null_both",437.371016375
2,3,0.0775796223771069,0.067986413000569,190474.59875,"null_both",190.47459875
2,4,0.0581546731948822,0.0586936048313321,284225.3518,"null_both",284.2253518
2,5,0.06187238376089,0.0628403844439188,337055.48055,"null_both",337.05548055
2,6,0.0535981166709108,0.0618253171325977,376892.630125,"null_both",376.892630125
2,7,0.0308343295593296,0.0516486538790301,455676.643375,"null_both",455.676643375
3,4,0.0524782725358577,0.0600715642941284,116460.649125,"null_both",116.460649125
3,5,0.0544707511270979,0.0633631150445064,173858.830325,"null_both",173.858830325
3,6,0.0433609963565846,0.0562080739726431,200274.260075,"null_both",200.274260075
3,7,0.0252439532689533,0.048149308950869,274346.546,"null_both",274.346546
4,5,0.0499908886907726,0.0614124646258793,57464.1820425,"null_both",57.4641820425
4,6,0.0378558937794232,0.0544191142667253,92999.56344,"null_both",92.99956344
4,7,0.0223276182151182,0.0449282862458333,172763.448,"null_both",172.763448
5,6,0.060671758612045,0.0706277633038052,52751.492455,"null_both",52.751492455
5,7,0.036341214749303,0.0656558053034724,129414.4136,"null_both",129.4144136
6,7,0.0300856532356532,0.0571854558175593,80112.73198,"null_both",80.11273198
