"module","node_id","layer_id","flow","type","species","size_of_module"
5,156,6,0.000214713,"pollinator","Halictus_fulvipes",36
5,215,6,0.000553819,"pollinator","Pieris_rapae",36
5,17,3,0.00604266,"plant","Launaea.arborescens",36
5,270,3,7.01117e-05,"pollinator","Thomisus_cf._onustus",36
5,42,3,0.000101138,"pollinator","Alliophleps_elliptica",36
5,203,6,0.000565544,"pollinator","Osmia_latreillei",36
5,165,3,0.00219504,"pollinator","Lasioglossum_viride",36
5,215,3,0.000384424,"pollinator","Pieris_rapae",36
5,16,5,2.26527e-05,"plant","Kickxia.scoparia",36
5,279,4,0.000167662,"pollinator","Torymoides_lindbergi",36
5,98,4,9.16592e-05,"pollinator","Chalicodoma_canescens",36
5,130,3,0.000279015,"pollinator","Dinarmoides_spilopterus",36
5,130,4,9.16592e-05,"pollinator","Dinarmoides_spilopterus",36
5,203,3,0.000202275,"pollinator","Osmia_latreillei",36
5,143,4,5.58872e-05,"pollinator","Eupelmus_sp.",36
5,76,3,0.00203769,"pollinator","Attalus_obscurus",36
6,1,4,0.00773292,"plant","Argyranthemum.frutescens",33
6,1,5,0.00505489,"plant","Argyranthemum.frutescens",33
6,1,6,0.0166012,"plant","Argyranthemum.frutescens",33
6,137,5,2.61375e-05,"pollinator","Eristalis_tenax",33
6,88,6,0.00195898,"pollinator","Bruchidius_wollastoni",33
6,255,6,0.00361995,"pollinator","Tachina_canariensis",33
6,90,6,0.000169128,"pollinator","Campiglossa_reticulata",33
6,111,6,0.000338256,"pollinator","Chrysomya_albiceps",33
6,190,5,2.61375e-05,"pollinator","Myathropa_florea",33
6,60,5,4.51832e-05,"pollinator","Apis_mellifera",33
6,241,5,2.61375e-05,"pollinator","Scenopinus_sp.",33
6,270,6,0.000169128,"pollinator","Thomisus_cf._onustus",33
6,135,4,0.000331689,"pollinator","Eristalinus_aeneus",33
6,135,5,2.61375e-05,"pollinator","Eristalinus_aeneus",33
6,157,4,5.5717e-05,"pollinator","Holepyris_sp.",33
6,227,4,0.000509948,"pollinator","Pteromalus_sp._4",33
6,227,5,5.22749e-05,"pollinator","Pteromalus_sp._4",33
6,274,4,0.0035666,"pollinator","Thysanoptera_sp._1",33
6,204,4,0.000111434,"pollinator","Oxyopes_cf._kraepelinorum",33
6,274,6,0.0118295,"pollinator","Thysanoptera_sp._1",33
6,280,4,5.5717e-05,"pollinator","Trixoscelis_sp.",33
6,170,6,0.00103841,"pollinator","Lucilia_sericata",33
6,81,5,2.61375e-05,"pollinator","Aulacoderus_canariensis",33
6,224,5,5.22749e-05,"pollinator","Pteromalus_sp._1",33
6,199,4,0.000111434,"pollinator","Oscinella_sp._1",33
6,163,4,5.5717e-05,"pollinator","Lasioglossum_loetum",33
6,254,4,0.000221062,"pollinator","Syritta_pipiens",33
6,269,6,0.000338256,"pollinator","Thomisus_cf._globosum",33
6,80,6,0.000338256,"pollinator","Attalus_rugifrons",33
6,278,5,0.00182683,"pollinator","Thysanoptera_sp._7",33
6,276,4,0.000111434,"pollinator","Thysanoptera_sp._3",33
6,241,4,0.000224233,"pollinator","Scenopinus_sp.",33
6,132,5,2.61375e-05,"pollinator","Elasmus_platyedrae",33
7,275,5,0.00131386,"pollinator","Thysanoptera_sp._2",19
7,275,6,0.00839358,"pollinator","Thysanoptera_sp._2",19
7,283,6,0.000192772,"pollinator","Trupanea_augur",19
7,33,6,0.0119351,"plant","Phagnalon.saxatile",19
7,192,6,0.00210821,"pollinator","Myopites_nigrescens",19
7,163,3,0.00144882,"pollinator","Lasioglossum_loetum",19
7,146,6,0.000192772,"pollinator","Eurytoma_sp._2",19
7,12,4,0.000225655,"plant","Fagonia.albiflora",19
7,275,3,0.00370644,"pollinator","Thysanoptera_sp._2",19
7,14,4,0.00061652,"plant","Helianthemum.canariensis",19
7,12,5,0.00119854,"plant","Fagonia.albiflora",19
7,275,4,0.00413283,"pollinator","Thysanoptera_sp._2",19
7,16,6,0.00145723,"plant","Kickxia.scoparia",19
7,109,5,8.18036e-05,"pollinator","Chloropidae_sp._5",19
7,27,5,0.000747031,"plant","Nauplius.aquaticus",19
7,268,3,0.000459975,"pollinator","Themnothorax_risii",19
7,16,3,0.000535605,"plant","Kickxia.scoparia",19
7,163,5,5.47032e-05,"pollinator","Lasioglossum_loetum",19
7,12,3,0.00337191,"plant","Fagonia.albiflora",19
8,19,3,0.000518172,"plant","Lavendula.minutolii",21
8,26,4,0.000651219,"plant","Lycium.intricatum",21
8,26,5,0.000970549,"plant","Lycium.intricatum",21
8,55,4,0.0004582,"pollinator","Anthophora_alluaudi",21
8,55,3,0.00206453,"pollinator","Anthophora_alluaudi",21
8,18,5,0.000621305,"plant","Lavendula.buchii",21
8,84,6,0.000975224,"pollinator","Blaesoxipha_sp._1",21
8,55,5,0.000672778,"pollinator","Anthophora_alluaudi",21
8,26,6,0.00370402,"plant","Lycium.intricatum",21
8,26,3,0.00390458,"plant","Lycium.intricatum",21
8,55,2,0.00661831,"pollinator","Anthophora_alluaudi",21
8,56,3,0.000254471,"pollinator","Anthophora_orotavae",21
8,168,2,0.00191245,"pollinator","Leptochilus_fortunatus",21
8,26,2,0.0118273,"plant","Lycium.intricatum",21
8,43,5,3.1524e-05,"pollinator","Amegilla_canifrons",21
8,44,6,0.00173305,"pollinator","Amegilla_quadrifasciata",21
8,44,5,0.000144806,"pollinator","Amegilla_quadrifasciata",21
8,44,3,0.000490045,"pollinator","Amegilla_quadrifasciata",21
8,277,2,0.000396848,"pollinator","Thysanoptera_sp._4",21
8,56,5,0.000144806,"pollinator","Anthophora_orotavae",21
8,131,2,0.00170648,"pollinator","Dischistus_atlanticus",21
9,101,1,5.0412e-05,"pollinator","Chetogena_acuminata",21
9,242,1,0.00391485,"pollinator","Sciaridae_sp.",21
9,242,5,0.000527498,"pollinator","Sciaridae_sp.",21
9,267,1,0.000201648,"pollinator","Themnothorax_productus",21
9,49,1,0.000100824,"pollinator","Anaspis_cf._saharensis",21
9,286,1,5.0412e-05,"pollinator","Vanessa_Cardui",21
9,189,1,0.000445801,"pollinator","Musca_sorbens",21
9,147,1,0.000100824,"pollinator","Eurytoma_sp._3",21
9,256,1,5.0412e-05,"pollinator","Tachinidae_sp._1",21
9,9,1,0.013741,"plant","Euphorbia.balsamifera..m.",21
9,170,1,0.00253114,"pollinator","Lucilia_sericata",21
9,171,1,0.00075618,"pollinator","Lucilia_sp._1",21
9,232,1,0.000302472,"pollinator","Sarcophagidae_sp._2",21
9,273,1,0.00186524,"pollinator","Thysanoptera_sp.",21
9,119,1,5.0412e-05,"pollinator","Crematogaster_scutellaris",21
9,212,1,5.0412e-05,"pollinator","Physiphora_alceae",21
9,221,1,0.00018312,"pollinator","Podalonia_sp.",21
9,65,1,5.0412e-05,"pollinator","Arachnospila_sp.",21
9,188,1,0.000100824,"pollinator","Musca_osiris",21
9,237,1,0.000352884,"pollinator","Sarcophagidae_sp._7",21
9,187,1,0.000201648,"pollinator","Musca_domestica",21
10,216,4,6.57991e-05,"pollinator","Plagiolepis_schmitzii",19
10,226,7,0.000706903,"pollinator","Pteromalus_sp._3",19
10,140,5,5.5315e-05,"pollinator","Euderus_sp.",19
10,38,7,0.00428184,"plant","Schizogyne.sericea",19
10,33,7,0.00247604,"plant","Phagnalon.saxatile",19
10,140,7,0.00103922,"pollinator","Euderus_sp.",19
10,226,4,8.86166e-05,"pollinator","Pteromalus_sp._3",19
10,192,7,0.0039627,"pollinator","Myopites_nigrescens",19
10,38,5,0.0010144,"plant","Schizogyne.sericea",19
10,124,5,9.6614e-05,"pollinator","Dasytes_cf._subaenescens",19
10,192,4,0.00121003,"pollinator","Myopites_nigrescens",19
10,140,4,0.000230622,"pollinator","Euderus_sp.",19
10,38,4,0.00262087,"plant","Schizogyne.sericea",19
10,167,5,5.5315e-05,"pollinator","Leptochilus_eatoni",19
10,95,3,9.58792e-05,"pollinator","Cephalodromia_sp.",19
10,210,7,0.000234046,"pollinator","Phalacrus_coruscus",19
10,248,7,0.000468092,"pollinator","Spathulina_sicula",19
10,276,3,0.000128869,"pollinator","Thysanoptera_sp._3",19
10,38,3,0.00126758,"plant","Schizogyne.sericea",19
11,14,2,0.00604438,"plant","Helianthemum.canariensis",6
11,15,2,0.00255482,"plant","Kickxia.heterophylla",6
11,201,2,0.000609116,"pollinator","Oscinimorpha_sp.",6
11,145,2,0.000415584,"pollinator","Eurytoma_sp._1",6
11,275,2,0.00783805,"pollinator","Thysanoptera_sp._2",6
11,155,2,0.000609116,"pollinator","Goniozus_sp.",6
12,194,1,0.00453435,"pollinator","Nomioides_deceptor",10
12,72,1,0.000393236,"pollinator","Attagenus_sp._1",10
12,231,1,8.22956e-05,"pollinator","Sarcophagidae_sp.",10
12,28,1,0.00122868,"plant","Nauplius.sp.",10
12,222,1,0.000246887,"pollinator","Proconura_sp._1",10
12,61,1,8.22956e-05,"pollinator","Aplocnemus_sp._2",10
12,172,1,0.000109103,"pollinator","Macrocoma_cf._henoni",10
12,3,1,0.00685296,"plant","Asparagus.pastorianus",10
12,230,1,0.000132708,"pollinator","Sarcophaga_sp._1",10
12,104,1,0.000329183,"pollinator","Chloropidae_sp.",10
13,244,1,0.00195751,"pollinator","Sciaridae_sp._4",8
13,8,1,0.00618703,"plant","Euphorbia.balsamifera..f.",8
13,14,1,5.528e-05,"plant","Helianthemum.canariensis",8
13,2,1,5.528e-05,"plant","Argyranthemum.sp.",8
13,258,1,0.00411079,"pollinator","Tapinoma_nigerrimum",8
13,216,1,0.00126834,"pollinator","Plagiolepis_schmitzii",8
13,117,1,4.25044e-05,"pollinator","Colletes2?_Waiting<85>",8
13,82,1,0.000167305,"pollinator","Axinotarsus_sp._1",8
14,271,1,0.000499608,"pollinator","Thyreus_sp._aff._ramosus",14
14,259,1,0.000524859,"pollinator","Tephritidae_sp._1",14
14,160,1,0.000538206,"pollinator","Hylaeus_sp.",14
14,164,1,0.000846256,"pollinator","Lasioglossum_phoenicurum",14
14,250,1,0.000262429,"pollinator","Sphecidae_sp.",14
14,17,1,0.00751866,"plant","Launaea.arborescens",14
14,206,1,0.000262429,"pollinator","Paragus_tibialis",14
14,63,1,0.000174953,"pollinator","Aprostocetus_sp._1",14
14,225,1,8.74764e-05,"pollinator","Pteromalus_sp._2",14
14,198,1,8.74764e-05,"pollinator","Ormyrus_sp._1",14
14,54,1,0.000874764,"pollinator","Anthaxia_sp._1",14
14,113,1,0.000837959,"pollinator","Coleoptera_sp._5",14
14,285,1,0.000262429,"pollinator","Urellliosoma_sp.",14
14,287,1,0.000349906,"pollinator","Vestitohalictus_sp.",14
15,15,1,0.000684875,"plant","Kickxia.heterophylla",10
15,58,1,0.000129817,"pollinator","Anthophora_sp._aff._orotavae",10
15,281,1,0.000296977,"pollinator","Troglops_sp.",10
15,51,1,0.000281425,"pollinator","Andrena_vachali",10
15,45,1,0.00191836,"pollinator","Amegilla_sp.",10
15,57,1,0.000129817,"pollinator","Anthophora_sp._1",10
15,12,1,0.00108594,"plant","Fagonia.albiflora",10
15,26,1,0.00503381,"plant","Lycium.intricatum",10
15,116,1,0.00143934,"pollinator","Colletes1?_Waiting<85>",10
15,196,1,0.00116836,"pollinator","Nomioides_sp.",10
