"node_id","type","species"
233,"pollinator","Sarcophagidae_sp._3"
234,"pollinator","Sarcophagidae_sp._4"
235,"pollinator","Sarcophagidae_sp._5"
236,"pollinator","Sarcophagidae_sp._6"
237,"pollinator","Sarcophagidae_sp._7"
238,"pollinator","Sarcophagidae_sp._8"
239,"pollinator","Scaeva_albomaculata"
240,"pollinator","Scaptomyza_sp._2"
241,"pollinator","Scenopinus_sp."
242,"pollinator","Sciaridae_sp."
243,"pollinator","Sciaridae_sp._1"
244,"pollinator","Sciaridae_sp._4"
245,"pollinator","Scymnus_canariensis"
246,"pollinator","Sepsis_sp."
247,"pollinator","Sibinia_sericea"
248,"pollinator","Spathulina_sicula"
249,"pollinator","Sphaeniscus_filiolus"
250,"pollinator","Sphecidae_sp."
251,"pollinator","Stenoselma_sp."
252,"pollinator","Stomorhina_lunata"
253,"pollinator","Synthesomyia_nudiseta"
254,"pollinator","Syritta_pipiens"
255,"pollinator","Tachina_canariensis"
256,"pollinator","Tachinidae_sp._1"
257,"pollinator","Tachyagetes_aemulans"
258,"pollinator","Tapinoma_nigerrimum"
259,"pollinator","Tephritidae_sp._1"
260,"pollinator","Tethina_marmorata"
261,"pollinator","Tethinidae_sp._1"
262,"pollinator","Tethinidae_sp._2"
263,"pollinator","Tethinidae_sp._3"
264,"pollinator","Tetramesa_sp."
265,"pollinator","Thaumatomyia_notata"
266,"pollinator","Themnothorax_hesperius"
267,"pollinator","Themnothorax_productus"
268,"pollinator","Themnothorax_risii"
269,"pollinator","Thomisus_cf._globosum"
270,"pollinator","Thomisus_cf._onustus"
271,"pollinator","Thyreus_sp._aff._ramosus"
272,"pollinator","Thyridanthrax_indigenus"
273,"pollinator","Thysanoptera_sp."
274,"pollinator","Thysanoptera_sp._1"
275,"pollinator","Thysanoptera_sp._2"
276,"pollinator","Thysanoptera_sp._3"
277,"pollinator","Thysanoptera_sp._4"
278,"pollinator","Thysanoptera_sp._7"
279,"pollinator","Torymoides_lindbergi"
280,"pollinator","Trixoscelis_sp."
281,"pollinator","Troglops_sp."
282,"pollinator","Tropinota_squalida"
283,"pollinator","Trupanea_augur"
284,"pollinator","Urelliosoma_guimari"
285,"pollinator","Urellliosoma_sp."
286,"pollinator","Vanessa_Cardui"
287,"pollinator","Vestitohalictus_sp."
288,"pollinator","Villa_nigriceps"
