"estimate","p_val","statistic","confidence_int_low","confidence_int_high","slope","intercept","rsquared","trial_num"
-0.824944315149835,4.19962537643286e-06,-6.36192458304878,-0.926638763960144,-0.61075983435961,-0.000852978579124331,0.469540734817921,0.680533123098027,265
-0.803499617430077,1.15125388264053e-05,-5.88332374761125,-0.917085850197198,-0.569269881278289,-0.000876771069749599,0.458667135726709,0.645611635210279,266
-0.860915057439532,5.47626986730829e-07,-7.37621847383713,-0.942373008864345,-0.683099077719342,-0.000895823347373956,0.477290403585074,0.741174736126112,267
-0.837476659932424,2.18398774835826e-06,-6.68006560342197,-0.932161373261327,-0.635563701509671,-0.000897031807753774,0.48168436294782,0.70136715593157,268
-0.830160198026071,3.21956333839776e-06,-6.49044415205528,-0.928942583441361,-0.621032231576846,-0.000847935220380912,0.469070833579868,0.689165954386681,269
-0.779071645359712,3.16179329188693e-05,-5.41666217792044,-0.906042728440438,-0.523418231553792,-0.000763110713317648,0.451318696544477,0.606952628603486,270
-0.868501068969014,3.31522385319858e-07,-7.63729157397113,-0.945645886563935,-0.698813895152892,-0.000898348856858681,0.470923455039816,0.754294106800316,271
-0.83949384350921,1.95584280884715e-06,-6.73440605858679,-0.93304618448744,-0.63959541505759,-0.000857576901626303,0.47014242724949,0.704749913289867,272
-0.856015062805429,7.45827678449241e-07,-7.21786788232924,-0.940250655101339,-0.673035263971588,-0.000866205168269031,0.474754425186577,0.732761787749777,273
-0.844805709638325,1.45204107072451e-06,-6.88209168517582,-0.935370763430398,-0.650265031231156,-0.000835544239336448,0.476810802041322,0.713696687037518,274
-0.80918188427528,8.92127403272829e-06,-6.00305102935858,-0.919629879722194,-0.580148635760003,-0.000816978395526643,0.455326743360329,0.654775321839296,275
-0.848456689085585,1.17563630355937e-06,-6.98768715654953,-0.936963980461175,-0.657643300665523,-0.000896962449017251,0.478840391061012,0.719878753254071,276
-0.820074411946315,5.34117377265443e-06,-6.24653279291826,-0.924480844662123,-0.601233468121941,-0.000815813000241025,0.463602669628585,0.672522041129089,277
