"","layer_from","node_from","layer_to","node_to","weight"
"284",2,39,3,39,0.333333333333333
"285",2,47,3,47,0.333333333333333
"286",2,108,3,108,0.333333333333333
"287",4,170,2,170,1
"288",4,182,2,182,0.333333333333333
"289",5,178,3,178,0.5
"290",5,223,3,223,1
"291",5,191,3,191,0.333333333333333
"292",4,50,3,50,0.25
"293",4,162,5,162,0.333333333333333
"294",4,162,3,162,0.25
"295",5,162,3,162,0.25
"296",4,204,3,204,0.333333333333333
"297",5,118,3,118,0.5
"298",4,104,5,104,0.25
"299",4,104,3,104,0.4
"300",5,104,3,104,0.333333333333333
"301",4,119,5,119,0.25
"302",4,119,3,119,0.666666666666667
"303",5,119,3,119,0.2
"304",4,116,5,116,0.2
"305",4,116,3,116,0.125
"306",5,116,3,116,0.285714285714286
"307",5,163,3,163,1
"308",4,214,5,214,0.2
