"","module_sub_module","layer_from","layer_to","distance","num_of_species"
"449","1 . 2",13,14,93.399466,8
"450","1 . 2",1,2,505.679714,15
"451","1 . 2",11,12,70.701802,9
"452","1 . 2",13,14,93.399466,8
"453","1 . 2",1,2,505.679714,15
"454","1 . 2",11,12,70.701802,9
"455","1 . 2",13,14,93.399466,8
"456","1 . 2",1,2,505.679714,15
"457","1 . 2",11,12,70.701802,9
"458","1 . 2",13,14,93.399466,8
"459","1 . 2",1,2,505.679714,15
"460","1 . 2",11,12,70.701802,9
"461","1 . 2",13,14,93.399466,8
"462","1 . 2",1,2,505.679714,15
"463","1 . 2",11,12,70.701802,9
"464","1 . 2",13,14,93.399466,8
"465","1 . 2",1,2,505.679714,15
"466","1 . 2",11,12,70.701802,9
"467","1 . 2",13,14,93.399466,8
"468","1 . 2",1,2,505.679714,15
"469","1 . 2",11,12,70.701802,9
"470","1 . 2",13,14,93.399466,8
"471","1 . 2",1,2,505.679714,15
"472","1 . 2",11,12,70.701802,9
"473","1 . 2",13,14,93.399466,8
"474","1 . 2",1,2,505.679714,15
"475","1 . 2",11,12,70.701802,9
"476","1 . 2",13,14,93.399466,8
"477","1 . 2",1,2,505.679714,15
"478","1 . 2",11,12,70.701802,9
"479","1 . 2",13,14,93.399466,8
"480","1 . 2",1,2,505.679714,15
"481","1 . 2",11,12,70.701802,9
"482","1 . 2",13,14,93.399466,8
"483","1 . 2",1,2,505.679714,15
"484","1 . 2",11,12,70.701802,9
"485","1 . 2",13,14,93.399466,8
"486","1 . 2",1,2,505.679714,15
"487","1 . 2",11,12,70.701802,9
"488","1 . 2",13,14,93.399466,8
"489","1 . 2",1,2,505.679714,15
"490","1 . 2",11,12,70.701802,9
"491","1 . 2",13,14,93.399466,8
"492","1 . 2",1,2,505.679714,15
"493","1 . 2",11,12,70.701802,9
"494","1 . 2",13,14,93.399466,8
"495","1 . 2",1,2,505.679714,15
"496","1 . 2",11,12,70.701802,9
"497","1 . 2",13,14,93.399466,8
"498","1 . 2",1,2,505.679714,15
"499","1 . 2",11,12,70.701802,9
"500","1 . 2",13,14,93.399466,8
"501","1 . 2",1,2,505.679714,15
"502","1 . 2",11,12,70.701802,9
"503","1 . 2",13,14,93.399466,8
"504","1 . 2",1,2,505.679714,15
"505","1 . 2",11,12,70.701802,9
"506","1 . 2",13,14,93.399466,8
"507","1 . 2",1,2,505.679714,15
"508","1 . 2",11,12,70.701802,9
"509","1 . 2",13,14,93.399466,8
