"","layer","node_from","node_to","weight"
"712",11,1,80,0.0294117647058824
"713",11,1,88,0.0588235294117647
"714",11,1,90,0.0294117647058824
"715",11,1,92,0.0588235294117647
"716",11,1,111,0.0588235294117647
"717",11,1,165,0.147058823529412
"718",11,1,192,0.0294117647058824
"719",11,1,215,0.0294117647058824
"720",11,1,255,0.117647058823529
"721",11,1,269,0.0588235294117647
"722",11,1,270,0.0294117647058824
"723",11,1,272,0.0882352941176471
"724",11,1,274,0.0882352941176471
"725",11,1,275,0.176470588235294
"726",11,8,67,0.0222222222222222
"727",11,8,92,0.666666666666667
"728",11,8,141,0.133333333333333
"729",11,8,216,0.0666666666666667
"730",11,8,219,0.0222222222222222
"731",11,8,238,0.0222222222222222
"732",11,8,255,0.0444444444444444
"733",11,8,272,0.0222222222222222
"734",11,9,92,0.2
"735",11,9,126,0.0166666666666667
"736",11,9,141,0.283333333333333
"737",11,9,205,0.0166666666666667
"738",11,9,207,0.0333333333333333
"739",11,9,216,0.166666666666667
"740",11,9,255,0.0166666666666667
"741",11,9,272,0.0166666666666667
"742",11,9,274,0.25
"743",11,10,62,0.0588235294117647
"744",11,10,92,0.794117647058823
"745",11,10,138,0.0294117647058824
"746",11,10,187,0.0294117647058824
"747",11,10,197,0.0294117647058824
"748",11,10,255,0.0588235294117647
"749",11,16,275,1
"750",11,17,60,0.111111111111111
"751",11,17,88,0.222222222222222
"752",11,17,126,0.111111111111111
"753",11,17,156,0.111111111111111
"754",11,17,163,0.111111111111111
"755",11,17,165,0.111111111111111
"756",11,17,275,0.222222222222222
"757",11,20,92,1
"758",11,31,92,0.583333333333333
"759",11,31,165,0.0416666666666667
"760",11,31,177,0.0833333333333333
"761",11,31,207,0.125
"762",11,31,216,0.125
"763",11,31,245,0.0416666666666667
"764",11,33,88,0.0526315789473684
"765",11,33,165,0.315789473684211
"766",11,33,192,0.0526315789473684
"767",11,33,216,0.105263157894737
"768",11,33,272,0.157894736842105
"769",11,33,275,0.315789473684211
"770",11,34,60,0.2
"771",11,34,165,0.6
"772",11,34,255,0.2
"773",11,35,62,0.125
"774",11,35,68,0.125
"775",11,35,138,0.125
"776",11,35,163,0.25
"777",11,35,238,0.25
"778",11,35,243,0.125
"779",12,1,80,0.0196078431372549
"780",12,1,88,0.0980392156862745
"781",12,1,165,0.0392156862745098
"782",12,1,170,0.0980392156862745
"783",12,1,255,0.0784313725490196
"784",12,1,272,0.0196078431372549
"785",12,1,274,0.647058823529412
"786",12,4,55,0.5
"787",12,4,98,0.5
"788",12,8,88,0.0263157894736842
"789",12,8,92,0.263157894736842
"790",12,8,141,0.0263157894736842
"791",12,8,144,0.0263157894736842
"792",12,8,163,0.184210526315789
"793",12,8,216,0.421052631578947
"794",12,8,235,0.0263157894736842
"795",12,8,255,0.0263157894736842
"796",12,9,47,0.103448275862069
"797",12,9,92,0.160919540229885
"798",12,9,108,0.0114942528735632
"799",12,9,133,0.0344827586206897
