"trial_number","layer_from","layer_to","turnover"
2,2,11,0.0869565217391304
2,2,12,0.125
2,2,13,0.0777777777777778
2,2,14,0.0842105263157895
2,3,4,0.342857142857143
2,3,5,0.192307692307692
2,3,6,0.207792207792208
2,3,7,0.174418604651163
2,3,8,0.2
2,3,9,0.158536585365854
2,3,10,0.157894736842105
2,3,11,0.164556962025316
2,3,12,0.204819277108434
2,3,13,0.141025641025641
2,3,14,0.158536585365854
2,4,5,0.177215189873418
2,4,6,0.1625
2,4,7,0.160919540229885
2,4,8,0.151515151515152
2,4,9,0.158536585365854
2,4,10,0.157894736842105
2,4,11,0.108433734939759
2,4,12,0.176470588235294
2,4,13,0.0987654320987654
2,4,14,0.144578313253012
2,5,6,0.352941176470588
2,5,7,0.282051282051282
2,5,8,0.255555555555556
2,5,9,0.205128205128205
2,5,10,0.238636363636364
2,5,11,0.166666666666667
2,5,12,0.269230769230769
2,5,13,0.205479452054795
2,5,14,0.220779220779221
2,6,7,0.265822784810127
2,6,8,0.255555555555556
2,6,9,0.220779220779221
2,6,10,0.238636363636364
2,6,11,0.213333333333333
2,6,12,0.269230769230769
2,6,13,0.205479452054795
2,6,14,0.175
2,7,8,0.390804597701149
2,7,9,0.2
2,7,10,0.258064516129032
2,7,11,0.192771084337349
2,7,12,0.273809523809524
2,7,13,0.170731707317073
2,7,14,0.159090909090909
2,8,9,0.210526315789474
2,8,10,0.238095238095238
2,8,11,0.191489361702128
2,8,12,0.25
2,8,13,0.147368421052632
2,8,14,0.173469387755102
2,9,10,0.3875
2,9,11,0.24
2,9,12,0.174418604651163
2,9,13,0.184210526315789
2,9,14,0.230769230769231
2,10,11,0.186813186813187
2,10,12,0.260869565217391
2,10,13,0.206896551724138
2,10,14,0.261363636363636
2,11,12,0.380281690140845
2,11,13,0.242857142857143
2,11,14,0.223684210526316
2,12,13,0.283783783783784
2,12,14,0.216867469879518
2,13,14,0.323529411764706
3,1,2,0.355263157894737
3,1,3,0.117647058823529
3,1,4,0.117647058823529
3,1,5,0.0930232558139535
3,1,6,0.0930232558139535
3,1,7,0.120879120879121
3,1,8,0.0849056603773585
3,1,9,0.116279069767442
3,1,10,0.108910891089109
3,1,11,0.0941176470588235
3,1,12,0.136363636363636
3,1,13,0.0465116279069767
3,1,14,0.0786516853932584
3,2,3,0.120879120879121
3,2,4,0.108695652173913
3,2,5,0.0978260869565217
3,2,6,0.10989010989011
3,2,7,0.101010101010101
3,2,8,0.0892857142857143
3,2,9,0.10752688172043
3,2,10,0.0917431192660551
3,2,11,0.0869565217391304
3,2,12,0.103092783505155
3,2,13,0.0659340659340659
3,2,14,0.0618556701030928
3,3,4,0.36231884057971
3,3,5,0.192307692307692
3,3,6,0.192307692307692
3,3,7,0.188235294117647
3,3,8,0.175257731958763
3,3,9,0.1875
3,3,10,0.15625
3,3,11,0.164556962025316
3,3,12,0.207317073170732
3,3,13,0.1125
3,3,14,0.144578313253012
3,4,5,0.1625
3,4,6,0.192307692307692
3,4,7,0.160919540229885
3,4,8,0.163265306122449
3,4,9,0.144578313253012
3,4,10,0.144329896907216
3,4,11,0.135802469135802
3,4,12,0.164705882352941
3,4,13,0.072289156626506
3,4,14,0.130952380952381
3,5,6,0.393939393939394
3,5,7,0.265822784810127
3,5,8,0.255555555555556
3,5,9,0.220779220779221
3,5,10,0.222222222222222
3,5,11,0.166666666666667
3,5,12,0.225
3,5,13,0.173333333333333
3,5,14,0.160493827160494
3,6,7,0.298701298701299
3,6,8,0.241758241758242
3,6,9,0.236842105263158
3,6,10,0.235955056179775
3,6,11,0.213333333333333
3,6,12,0.240506329113924
3,6,13,0.189189189189189
