"layer_from","layer_to","ave","sd","ave_dist","type","ave_dist_in_km"
3,10,0.0858499023851965,0.0275430606923585,337167.3216,"null_model",337.1673216
3,11,0.0929221001221001,0.0220287967228325,376908.7486,"null_model",376.9087486
3,12,0.0886485532441415,0.0277575602582397,376943.1528,"null_model",376.9431528
4,5,0.0781587992073286,0.0132462497218473,190455.7312,"null_model",190.4557312
4,6,0.0752236455537926,0.011567515868604,190431.974,"null_model",190.431974
4,7,0.145164232581144,0.0182550786674905,284225.063,"null_model",284.225063
4,8,0.072039307562063,0.0251619841401205,284158.7826,"null_model",284.1587826
4,9,0.0731129754834089,0.0143933500250292,336943.6391,"null_model",336.9436391
4,10,0.0685155583107982,0.0103622848700437,337100.0413,"null_model",337.1000413
4,11,0.0760638423667835,0.0113043154835311,376842.1066,"null_model",376.8421066
4,12,0.0719129025171595,0.0133998842896967,376876.5125,"null_model",376.8765125
4,13,0.108638861138861,0.0404721155875116,455616.6148,"null_model",455.6166148
5,6,0.433317951492951,0.0817376245835984,95.95512,"null_model",0.09595512
5,7,0.0925341214942608,0.0390368654294214,116498.0882,"null_model",116.4980882
5,8,0.0946193245007486,0.0423338053039229,116473.2763,"null_model",116.4732763
5,9,0.196881249143014,0.0504316300023232,173827.6658,"null_model",173.8276658
5,10,0.175219561729121,0.0383677891007604,173938.4686,"null_model",173.9384686
5,11,0.208981585081585,0.0531323924910162,200279.0495,"null_model",200.2790495
5,12,0.186587572068455,0.0457644297536295,200296.3813,"null_model",200.2963813
5,13,0.0972932997557998,0.0265241261091345,274321.0892,"null_model",274.3210892
6,7,0.0855544940353764,0.0351635284643789,116448.0545,"null_model",116.4480545
6,8,0.0824394870738137,0.0332674297089492,116423.1775,"null_model",116.4231775
6,9,0.180458639807905,0.0427856827772563,173779.1593,"null_model",173.7791593
6,10,0.166682714018008,0.0359950820506229,173890.0276,"null_model",173.8900276
6,11,0.185729983904984,0.0350026297552572,200252.1231,"null_model",200.2521231
6,12,0.172686464245249,0.0373881933298102,200269.4864,"null_model",200.2694864
6,13,0.0918793664668665,0.0250484121360481,274306.3841,"null_model",274.3063841
7,8,0.319772831090478,0.0826330885789294,95.901643,"null_model",0.095901643
7,9,0.283852865190365,0.0645983557503343,57391.05093,"null_model",57.39105093
7,10,0.261228685465721,0.0616990428549577,57507.0912,"null_model",57.5070912
7,11,0.274370498782264,0.0499645869971416,92943.79946,"null_model",92.94379946
7,12,0.263317406857848,0.0579216802183438,92982.62174,"null_model",92.98262174
7,13,0.100042255783432,0.0458132956435906,172702.2428,"null_model",172.7022428
8,9,0.269867591558768,0.0599611803477693,57421.1674,"null_model",57.4211674
8,10,0.247323081442122,0.05735546066487,57537.41864,"null_model",57.53741864
8,11,0.17368489459457,0.0474722863097566,93016.48528,"null_model",93.01648528
8,12,0.258355364136208,0.0608540667981408,93055.34728,"null_model",93.05534728
8,13,0.0938904449308861,0.0412293188073764,172778.5189,"null_model",172.7785189
9,10,0.405065767153383,0.0851529051409631,176.725963,"null_model",0.176725963
9,11,0.291842755855256,0.050824054211673,52803.77965,"null_model",52.80377965
9,12,0.400380638805639,0.0768849325017723,52869.02752,"null_model",52.86902752
9,13,0.114100931013431,0.0512578955840489,129490.6054,"null_model",129.4906054
10,11,0.277654697589992,0.0524286605916776,52633.94478,"null_model",52.63394478
10,12,0.372119783484489,0.0666821784500145,52699.21787,"null_model",52.69921787
10,13,0.109558228128081,0.0484935666556873,129313.8797,"null_model",129.3138797
11,12,0.32121925019425,0.0789515310131432,70.701802,"null_model",0.070701802
11,13,0.127667865467865,0.0595832486085979,80115.5239,"null_model",80.1155239
12,13,0.107337952325452,0.0502387142340866,80069.46551,"null_model",80.06946551
13,14,0.478343653568654,0.0854826324019918,93.399466,"null_model",0.093399466
