"node_from","node_to","layer_from","co_occurrences","interactions","weight"
16,165,5,4,1,0
16,165,10,4,1,1
16,165,11,4,1,0
16,165,12,4,1,0
16,268,5,1,1,2
16,275,5,4,3,2
16,275,10,4,3,0
16,275,11,4,3,1
16,275,12,4,3,1
16,44,5,3,1,0
16,44,10,3,1,0
16,44,12,3,1,1
16,55,5,3,1,0
16,55,10,3,1,0
16,55,12,3,1,1
16,92,5,4,1,1
16,92,10,4,1,0
16,92,11,4,1,0
16,92,12,4,1,0
17,111,3,7,1,0
17,111,4,7,1,3
17,111,5,7,1,0
17,111,6,7,1,0
17,111,7,7,1,0
17,111,8,7,1,0
17,111,11,7,1,0
17,113,1,2,1,7
17,113,2,2,1,0
17,125,3,1,1,6
17,126,9,3,2,1
17,126,10,3,2,0
17,126,11,3,2,1
17,128,4,1,1,3
17,130,6,3,2,1
17,130,7,3,2,0
17,130,8,3,2,1
17,131,3,2,1,1
17,131,4,2,1,0
17,136,5,3,1,0
17,136,7,3,1,0
17,136,8,3,1,1
17,138,9,4,1,0
17,138,10,4,1,0
17,138,11,4,1,0
17,138,12,4,1,1
17,140,8,2,1,1
17,140,10,2,1,0
17,143,7,2,1,1
17,143,12,2,1,0
17,145,4,2,1,0
17,145,7,2,1,2
17,146,3,2,1,1
17,146,12,2,1,0
17,153,4,1,1,1
17,156,11,1,1,1
17,160,1,2,1,0
17,160,2,2,1,5
17,163,3,8,2,1
17,163,5,8,2,0
17,163,6,8,2,0
17,163,8,8,2,0
17,163,9,8,2,0
17,163,10,8,2,0
17,163,11,8,2,1
17,163,12,8,2,0
17,164,2,1,1,6
17,165,5,8,5,0
17,165,6,8,5,4
17,165,7,8,5,1
17,165,8,8,5,3
17,165,9,8,5,0
17,165,10,8,5,0
17,165,11,8,5,1
17,165,12,8,5,21
17,168,4,1,1,1
17,170,1,9,2,0
17,170,2,9,2,0
17,170,3,9,2,6
17,170,4,9,2,3
17,170,5,9,2,0
17,170,6,9,2,0
17,170,7,9,2,0
17,170,8,9,2,0
17,170,12,9,2,0
17,178,10,1,1,1
17,192,7,4,1,0
17,192,8,4,1,1
17,192,11,4,1,0
17,192,12,4,1,0
17,194,1,2,1,0
17,194,2,2,1,1
17,198,1,1,1,1
17,203,6,2,2,2
17,203,12,2,2,1
17,206,2,2,2,3
17,206,3,2,2,1
17,215,6,3,2,3
17,215,11,3,2,0
17,215,12,3,2,1
17,216,1,7,2,0
17,216,2,7,2,0
17,216,3,7,2,12
17,216,4,7,2,0
17,216,8,7,2,0
17,216,11,7,2,0
17,216,12,7,2,5
17,217,5,6,2,1
17,217,6,6,2,0
17,217,7,6,2,0
17,217,8,6,2,7
17,217,9,6,2,0
17,217,10,6,2,0
17,223,3,1,1,1
17,225,1,3,3,1
17,225,3,3,3,7
17,225,4,3,3,1
17,234,3,2,1,0
17,234,4,2,1,1
17,236,3,2,2,1
17,236,4,2,2,1
17,242,1,6,3,0
17,242,2,6,3,1
17,242,3,6,3,3
17,242,4,6,3,4
17,242,9,6,3,0
17,242,10,6,3,0
17,250,2,1,1,3
17,254,8,3,1,0
17,254,9,3,1,0
17,254,10,3,1,1
17,259,2,1,1,6
17,266,7,4,1,4
17,266,8,4,1,0
17,266,9,4,1,0
17,266,10,4,1,0
17,268,5,1,1,2
17,271,1,1,1,3
17,272,11,2,1,0
17,272,12,2,1,1
17,275,3,10,5,2
17,275,4,10,5,0
17,275,5,10,5,1
17,275,6,10,5,0
17,275,7,10,5,0
17,275,8,10,5,5
17,275,9,10,5,0
17,275,10,10,5,0
17,275,11,10,5,2
17,275,12,10,5,5
17,279,8,1,1,3
17,282,6,1,1,1
17,284,1,9,9,4
17,284,2,9,9,1
17,284,3,9,9,2
17,284,4,9,9,2
17,284,6,9,9,2
17,284,7,9,9,3
17,284,8,9,9,3
17,284,10,9,9,1
17,284,12,9,9,1
17,285,2,1,1,3
17,287,1,1,1,4
17,42,6,1,1,1
17,48,4,1,1,2
17,50,3,8,3,2
17,50,4,8,3,0
17,50,5,8,3,0
17,50,6,8,3,10
17,50,7,8,3,0
17,50,8,8,3,1
17,50,9,8,3,0
17,50,10,8,3,0
17,54,1,2,2,3
17,54,2,2,2,7
17,55,3,9,3,1
17,55,4,9,3,2
17,55,5,9,3,0
17,55,6,9,3,0
17,55,7,9,3,0
17,55,8,9,3,0
17,55,9,9,3,0
17,55,10,9,3,0
17,55,12,9,3,1
17,59,3,2,1,1
17,59,4,2,1,0
17,60,5,8,3,0
17,60,6,8,3,1
17,60,7,8,3,0
17,60,8,8,3,0
17,60,9,8,3,0
17,60,10,8,3,0
17,60,11,8,3,1
17,60,12,8,3,5
17,62,7,3,1,0
17,62,11,3,1,0
17,62,12,3,1,1
17,63,2,1,1,2
17,71,3,1,1,1
17,72,1,2,1,0
17,72,2,2,1,1
17,73,5,3,2,3
17,73,7,3,2,1
17,73,8,3,2,0
17,74,4,1,1,1
17,76,5,2,2,5
17,76,6,2,2,4
17,77,3,2,1,3
17,77,4,2,1,0
17,81,3,3,1,4
17,81,4,3,1,0
17,81,9,3,1,0
17,88,11,2,1,2
17,88,12,2,1,0
17,89,3,2,2,2
17,89,4,2,2,2
17,91,3,2,1,2
17,91,4,2,1,0
17,92,3,9,3,0
17,92,5,9,3,0
17,92,6,9,3,0
17,92,7,9,3,1
17,92,8,9,3,1
17,92,9,9,3,0
17,92,10,9,3,0
17,92,11,9,3,0
17,92,12,9,3,1
17,95,3,2,1,1
17,95,5,2,1,0
17,98,7,2,1,1
17,98,12,2,1,0
17,99,1,2,1,0
17,99,4,2,1,3
18,166,10,1,1,1
18,44,10,1,1,2
18,55,10,1,1,2
18,56,10,1,1,2
18,92,10,1,1,7
19,55,6,1,1,6
2,258,2,1,1,1
20,165,7,2,1,1
20,165,11,2,1,0
20,249,7,1,1,1
20,252,7,1,1,1
20,266,7,1,1,1
20,44,7,1,1,8
20,56,7,1,1,2
20,60,7,2,1,1
20,60,11,2,1,0
20,92,7,2,2,1
20,92,11,2,2,2
21,162,13,1,1,1
21,165,13,1,1,1
21,176,13,1,1,1
21,202,13,1,1,1
21,243,13,1,1,1
21,275,13,1,1,4
21,98,13,1,1,1
22,105,4,1,1,1
22,77,4,1,1,1
22,91,4,1,1,1
23,182,8,1,1,1
23,195,8,1,1,1
23,266,7,2,1,0
23,266,8,2,1,1
23,55,7,2,1,0
23,55,8,2,1,1
23,92,7,2,1,2
23,92,8,2,1,0
24,100,1,1,1,1
24,170,1,1,1,1
24,261,1,1,1,5
24,262,1,1,1,6
24,99,1,1,1,1
25,202,6,1,1,2
26,116,2,1,1,10
26,131,3,2,1,0
26,131,4,2,1,2
26,139,5,2,1,1
26,139,10,2,1,0
26,163,3,7,2,0
26,163,5,7,2,1
26,163,6,7,2,0
26,163,8,7,2,0
26,163,9,7,2,0
26,163,10,7,2,0
26,163,12,7,2,2
26,164,2,1,1,1
26,165,5,7,4,3
26,165,6,7,4,5
26,165,7,7,4,0
26,165,8,7,4,0
26,165,9,7,4,3
26,165,10,7,4,0
26,165,12,7,4,1
26,168,4,1,1,4
26,194,1,2,1,0
26,194,2,2,1,3
26,196,2,1,1,9
26,215,6,2,1,1
26,215,12,2,1,0
26,217,5,6,1,0
26,217,6,6,1,1
26,217,7,6,1,0
26,217,8,6,1,0
26,217,9,6,1,0
26,217,10,6,1,0
26,242,1,6,1,0
26,242,2,6,1,0
26,242,3,6,1,0
26,242,4,6,1,1
26,242,9,6,1,0
26,242,10,6,1,0
26,244,1,2,1,0
26,244,2,2,1,1
26,258,1,2,1,0
26,258,2,2,1,3
26,266,7,4,2,1
26,266,8,4,2,0
26,266,9,4,2,0
26,266,10,4,2,1
26,274,3,9,2,1
26,274,4,9,2,1
26,274,5,9,2,0
26,274,6,9,2,0
26,274,7,9,2,0
26,274,8,9,2,0
26,274,9,9,2,0
26,274,10,9,2,0
26,274,12,9,2,0
26,275,3,9,1,1
26,275,4,9,1,0
26,275,5,9,1,0
26,275,6,9,1,0
26,275,7,9,1,0
26,275,8,9,1,0
26,275,9,9,1,0
26,275,10,9,1,0
26,275,12,9,1,0
26,277,3,1,1,1
26,43,9,1,1,1
26,44,5,5,4,3
26,44,6,5,4,1
26,44,7,5,4,0
26,44,10,5,4,1
26,44,12,5,4,2
26,45,1,2,2,2
26,45,2,2,2,3
26,50,3,8,1,0
26,50,4,8,1,0
26,50,5,8,1,0
26,50,6,8,1,0
26,50,7,8,1,0
26,50,8,8,1,0
26,50,9,8,1,1
26,50,10,8,1,0
26,51,1,1,1,1
26,55,3,9,7,5
26,55,4,9,7,6
26,55,5,9,7,4
26,55,6,9,7,9
26,55,7,9,7,1
26,55,8,9,7,0
26,55,9,9,7,10
