"","layer_from","node_from","layer_to","node_to","weight"
"288",7,8,9,8,0.384215646796006
"289",7,8,10,8,0.384144835312503
"290",7,8,11,8,0.368023605703358
"291",7,8,12,8,0.36801017146011
"292",7,8,13,8,0.349115593859897
"293",7,8,14,8,0.349107859336776
"294",7,9,8,9,0.922594793752016
"295",7,9,9,9,0.384215646796006
"296",7,9,10,9,0.384144835312503
"297",7,9,11,9,0.368023605703358
"298",7,9,12,9,0.36801017146011
"299",7,9,13,9,0.349115593859897
"300",7,9,14,9,0.349107859336776
"301",7,10,8,10,0.922594793752016
"302",7,10,9,10,0.384215646796006
"303",7,10,10,10,0.384144835312503
"304",7,10,11,10,0.368023605703358
"305",7,10,12,10,0.36801017146011
"306",7,10,13,10,0.349115593859897
"307",7,10,14,10,0.349107859336776
"308",7,13,8,13,0.922594793752016
"309",7,13,10,13,0.384144835312503
"310",7,14,8,14,0.922594793752016
"311",7,17,8,17,0.922594793752016
"312",7,17,9,17,0.384215646796006
"313",7,17,10,17,0.384144835312503
"314",7,17,11,17,0.368023605703358
"315",7,17,12,17,0.36801017146011
"316",7,20,11,20,0.368023605703358
"317",7,23,8,23,0.922594793752016
"318",7,26,8,26,0.922594793752016
"319",7,26,9,26,0.384215646796006
"320",7,26,10,26,0.384144835312503
"321",7,26,12,26,0.36801017146011
"322",7,31,8,31,0.922594793752016
"323",7,31,9,31,0.384215646796006
"324",7,31,10,31,0.384144835312503
"325",7,31,11,31,0.368023605703358
"326",7,31,12,31,0.36801017146011
"327",7,31,13,31,0.349115593859897
"328",7,31,14,31,0.349107859336776
"329",7,34,11,34,0.368023605703358
"330",7,37,8,37,0.922594793752016
"331",7,37,14,37,0.349107859336776
"332",7,38,8,38,0.922594793752016
"333",7,38,9,38,0.384215646796006
"334",7,38,10,38,0.384144835312503
"335",7,38,14,38,0.349107859336776
"336",8,1,9,1,0.384197252505333
"337",8,1,10,1,0.384126356385712
"338",8,1,11,1,0.367998458542219
"339",8,1,12,1,0.367985022899802
"340",8,8,9,8,0.384197252505333
"341",8,8,10,8,0.384126356385712
"342",8,8,11,8,0.367998458542219
"343",8,8,12,8,0.367985022899802
"344",8,8,13,8,0.349102811089536
"345",8,8,14,8,0.349095085135785
"346",8,9,9,9,0.384197252505333
"347",8,9,10,9,0.384126356385712
"348",8,9,11,9,0.367998458542219
"349",8,9,12,9,0.367985022899802
"350",8,9,13,9,0.349102811089536
"351",8,9,14,9,0.349095085135785
"352",8,10,9,10,0.384197252505333
"353",8,10,10,10,0.384126356385712
"354",8,10,11,10,0.367998458542219
"355",8,10,12,10,0.367985022899802
"356",8,10,13,10,0.349102811089536
"357",8,10,14,10,0.349095085135785
"358",8,12,9,12,0.384197252505333
"359",8,12,10,12,0.384126356385712
"360",8,12,12,12,0.367985022899802
"361",8,13,10,13,0.384126356385712
"362",8,17,9,17,0.384197252505333
"363",8,17,10,17,0.384126356385712
"364",8,17,11,17,0.367998458542219
"365",8,17,12,17,0.367985022899802
"366",8,26,9,26,0.384197252505333
"367",8,26,10,26,0.384126356385712
"368",8,26,12,26,0.367985022899802
"369",8,31,9,31,0.384197252505333
"370",8,31,10,31,0.384126356385712
"371",8,31,11,31,0.367998458542219
"372",8,31,12,31,0.367985022899802
"373",8,31,13,31,0.349102811089536
"374",8,31,14,31,0.349095085135785
"375",8,37,14,37,0.349095085135785
"376",8,38,9,38,0.384197252505333
"377",8,38,10,38,0.384126356385712
"378",8,38,14,38,0.349095085135785
"379",9,1,10,1,0.813608375970286
"380",9,1,11,1,0.387159027743914
"381",9,1,12,1,0.387115066457781
"382",9,5,10,5,0.813608375970286
"383",9,5,13,5,0.357655942505973
"384",9,5,14,5,0.35765023154864
"385",9,8,10,8,0.813608375970286
"386",9,8,11,8,0.387159027743914
"387",9,8,12,8,0.387115066457781
"388",9,8,13,8,0.357655942505973
"389",9,8,14,8,0.35765023154864
"390",9,9,10,9,0.813608375970286
"391",9,9,11,9,0.387159027743914
"392",9,9,12,9,0.387115066457781
"393",9,9,13,9,0.357655942505973
"394",9,9,14,9,0.35765023154864
"395",9,10,10,10,0.813608375970286
"396",9,10,11,10,0.387159027743914
"397",9,10,12,10,0.387115066457781
"398",9,10,13,10,0.357655942505973
"399",9,10,14,10,0.35765023154864
"400",9,12,10,12,0.813608375970286
"401",9,12,12,12,0.387115066457781
"402",9,17,10,17,0.813608375970286
"403",9,17,11,17,0.387159027743914
"404",9,17,12,17,0.387115066457781
"405",9,26,10,26,0.813608375970286
"406",9,26,12,26,0.387115066457781
