"layer_from","layer_to","ave_distance","turnover","trial"
1,10,389081.6723,0.173913043478261,945
1,10,389081.6723,0.0416666666666667,958
1,10,389081.6723,0.0869565217391304,36
1,10,389081.6723,0.0571428571428571,273
1,10,389081.6723,0.0909090909090909,179
1,10,389081.6723,0.148148148148148,174
1,10,389081.6723,0.111111111111111,456
1,10,389081.6723,0.153846153846154,928
1,10,389081.6723,0.153846153846154,33
1,10,389081.6723,0.115384615384615,230
1,10,389081.6723,0.08,256
1,10,389081.6723,0.037037037037037,297
1,10,389081.6723,0.107142857142857,291
1,10,389081.6723,0.0625,272
1,10,389081.6723,0.0869565217391304,279
1,10,389081.6723,0.125,998
1,10,389081.6723,0.0454545454545455,925
1,10,389081.6723,0.153846153846154,152
1,10,389081.6723,0.166666666666667,132
1,10,389081.6723,0.037037037037037,960
1,10,389081.6723,0.12,335
1,10,389081.6723,0.0869565217391304,537
1,10,389081.6723,0.0769230769230769,175
1,10,389081.6723,0.08,323
1,10,389081.6723,0.137931034482759,929
1,10,389081.6723,0.12,196
1,10,389081.6723,0.08,237
1,10,389081.6723,0.0740740740740741,251
1,10,389081.6723,0.12,57
1,10,389081.6723,0.0333333333333333,285
1,10,389081.6723,0.115384615384615,300
1,10,389081.6723,0.166666666666667,919
1,10,389081.6723,0.08,947
1,10,389081.6723,0.115384615384615,322
1,10,389081.6723,0.0740740740740741,989
1,10,389081.6723,0.0967741935483871,679
1,10,389081.6723,0.0869565217391304,936
1,10,389081.6723,0.125,148
1,10,389081.6723,0.153846153846154,937
1,10,389081.6723,0.0740740740740741,991
1,10,389081.6723,0.185185185185185,76
1,10,389081.6723,0.2,326
1,10,389081.6723,0.037037037037037,151
1,10,389081.6723,0.0714285714285714,474
1,10,389081.6723,0.137931034482759,158
1,10,389081.6723,0.153846153846154,192
1,10,389081.6723,0.0740740740740741,328
1,10,389081.6723,0.0909090909090909,678
1,10,389081.6723,0.166666666666667,214
1,10,389081.6723,0.16,296
1,10,389081.6723,0.0714285714285714,457
1,10,389081.6723,0.0714285714285714,135
1,10,389081.6723,0.12,331
1,10,389081.6723,0.111111111111111,190
1,10,389081.6723,0.130434782608696,433
1,10,389081.6723,0.0454545454545455,258
1,10,389081.6723,0.0740740740740741,157
1,10,389081.6723,0.0666666666666667,959
1,10,389081.6723,0.0833333333333333,280
1,10,389081.6723,0.0833333333333333,435
1,10,389081.6723,0.16,301
1,10,389081.6723,0.107142857142857,180
1,10,389081.6723,0.04,827
1,10,389081.6723,0.0769230769230769,344
1,10,389081.6723,0.0384615384615385,990
1,10,389081.6723,0.1,94
1,10,389081.6723,0.111111111111111,176
1,10,389081.6723,0.178571428571429,277
1,10,389081.6723,0.0769230769230769,325
1,10,389081.6723,0.08,931
1,10,389081.6723,0.148148148148148,946
1,10,389081.6723,0.0666666666666667,327
1,10,389081.6723,0.142857142857143,37
1,10,389081.6723,0.115384615384615,125
1,10,389081.6723,0.130434782608696,954
1,10,389081.6723,0.16,329
1,10,389081.6723,0.0416666666666667,976
1,10,389081.6723,0.0967741935483871,955
1,10,389081.6723,0.0303030303030303,996
1,10,389081.6723,0.0384615384615385,324
1,10,389081.6723,0.125,997
1,10,389081.6723,0.125,735
1,10,389081.6723,0.115384615384615,292
1,10,389081.6723,0.125,191
1,10,389081.6723,0.115384615384615,434
1,10,389081.6723,0.08,999
1,10,389081.6723,0.0833333333333333,475
1,10,389081.6723,0.08,153
1,10,389081.6723,0.142857142857143,920
1,10,389081.6723,0.103448275862069,961
1,10,389081.6723,0.142857142857143,336
1,10,389081.6723,0.08,538
1,10,389081.6723,0.08,977
1,10,389081.6723,0.0625,257
1,10,389081.6723,0.0344827586206897,298
1,10,389081.6723,0.08,197
1,10,389081.6723,0.0740740740740741,238
1,10,389081.6723,0.1,77
1,10,389081.6723,0,58
1,10,389081.6723,0.12,926
1,10,389081.6723,0.0833333333333333,281
1,10,389081.6723,0.0769230769230769,159
1,10,389081.6723,0.12,948
1,10,389081.6723,0.115384615384615,302
1,10,389081.6723,0.0740740740740741,181
1,10,389081.6723,0.125,680
1,10,389081.6723,0.08,345
1,10,389081.6723,0.166666666666667,930
1,10,389081.6723,0.0769230769230769,304
1,10,389081.6723,0.153846153846154,992
1,10,389081.6723,0.130434782608696,124
1,10,389081.6723,0.0869565217391304,64
1,10,389081.6723,0.0333333333333333,286
1,10,389081.6723,0.181818181818182,146
