"layer_from","layer_to","ave","sd","ave_dist","type"
4,11,0.269230769230769,NA,376.8421066,"empirical"
4,12,0.36,NA,376.8765125,"empirical"
4,13,0.230769230769231,NA,455.6166148,"empirical"
5,6,0.782608695652174,NA,0.09595512,"empirical"
5,7,0.516129032258065,NA,116.4980882,"empirical"
5,8,0.666666666666667,NA,116.4732763,"empirical"
5,9,0.444444444444444,NA,173.8276658,"empirical"
5,10,0.538461538461538,NA,173.9384686,"empirical"
5,11,0.423076923076923,NA,200.2790495,"empirical"
5,12,0.583333333333333,NA,200.2963813,"empirical"
5,13,0.44,NA,274.3210892,"empirical"
6,7,0.4375,NA,116.4480545,"empirical"
6,8,0.53125,NA,116.4231775,"empirical"
6,9,0.52,NA,173.7791593,"empirical"
6,10,0.56,NA,173.8900276,"empirical"
6,11,0.44,NA,200.2521231,"empirical"
6,12,0.541666666666667,NA,200.2694864,"empirical"
6,13,0.458333333333333,NA,274.3063841,"empirical"
7,8,0.833333333333333,NA,0.095901643,"empirical"
7,9,0.333333333333333,NA,57.39105093,"empirical"
7,10,0.323529411764706,NA,57.5070912,"empirical"
7,11,0.448275862068966,NA,92.94379946,"empirical"
7,12,0.433333333333333,NA,92.98262174,"empirical"
7,13,0.32258064516129,NA,172.7022428,"empirical"
8,9,0.382352941176471,NA,57.4211674,"empirical"
8,10,0.454545454545455,NA,57.53741864,"empirical"
8,11,0.40625,NA,93.01648528,"empirical"
8,12,0.533333333333333,NA,93.05534728,"empirical"
8,13,0.375,NA,172.7785189,"empirical"
9,10,0.85,NA,0.176725963,"empirical"
9,11,0.545454545454545,NA,52.80377965,"empirical"
9,12,0.521739130434783,NA,52.86902752,"empirical"
9,13,0.571428571428571,NA,129.4906054,"empirical"
10,11,0.521739130434783,NA,52.63394478,"empirical"
10,12,0.565217391304348,NA,52.69921787,"empirical"
10,13,0.545454545454545,NA,129.3138797,"empirical"
11,12,0.65,NA,0.070701802,"empirical"
11,13,0.55,NA,80.1155239,"empirical"
12,13,0.6,NA,80.06946551,"empirical"
13,14,0.470588235294118,NA,0.093399466,"empirical"
1,2,0.668337974243641,0.0872459316257461,0.505679714,"null_pollinators"
1,3,0.513679123284011,0.0876162029507371,305.0290863,"null_pollinators"
1,4,0.521927895569019,0.0900782603736235,305.0142086,"null_pollinators"
1,5,0.455097856247041,0.0803924389876192,244.1261002,"null_pollinators"
1,6,0.447140799325076,0.0819092639223635,244.2182947,"null_pollinators"
1,7,0.458188401722284,0.0814688935489386,339.3176653,"null_pollinators"
1,8,0.462986781037407,0.0793833190153441,339.3409395,"null_pollinators"
1,9,0.359041176001053,0.0796960973725353,389.0412745,"null_pollinators"
1,11,0.0265364398945032,0.0373096223212744,390.0210886,"null_pollinators"
2,3,0.521657224107648,0.0890990551114259,305.48351,"null_pollinators"
2,4,0.52880327901902,0.0909504952011827,305.4685845,"null_pollinators"
2,5,0.49696582792006,0.0873809403787438,244.3428621,"null_pollinators"
2,6,0.491377449564008,0.0869928322172784,244.4351061,"null_pollinators"
2,7,0.465136834507724,0.0810617975950464,339.4225451,"null_pollinators"
2,8,0.489404011637249,0.0854370500355926,339.4459549,"null_pollinators"
2,9,0.388652394233621,0.0858396229154121,389.1067971,"null_pollinators"
2,11,0.0280963595991604,0.0379576252648943,390.0182084,"null_pollinators"
2,12,0.0232921928336618,0.0347568746195227,389.9966073,"null_pollinators"
2,13,0.0196268233342942,0.0317429425443799,437.2850066,"null_pollinators"
3,4,0.644398132443204,0.0933055458956127,0.067363151,"null_pollinators"
3,5,0.492526440856738,0.0901723778440813,190.5172168,"null_pollinators"
3,6,0.480186270623381,0.0865236107087285,190.493473,"null_pollinators"
3,7,0.500139506952359,0.0800359746107203,284.29192,"null_pollinators"
3,8,0.504231111056525,0.0844153508958345,284.2256416,"null_pollinators"
3,9,0.38932161012366,0.0847369841521885,337.0109202,"null_pollinators"
3,11,0.029770180402212,0.0408186017888056,376.9087486,"null_pollinators"
3,12,0.0242028524288529,0.0369772096720914,376.9431528,"null_pollinators"
3,13,0.0202021648607845,0.0332308166721028,455.6828693,"null_pollinators"
4,5,0.493327454710055,0.0900632034668253,190.4557312,"null_pollinators"
4,6,0.483692020135543,0.0854150263976267,190.431974,"null_pollinators"
4,7,0.496661316947721,0.0802336983797818,284.225063,"null_pollinators"
4,8,0.508165650638678,0.0861617442298451,284.1587826,"null_pollinators"
4,9,0.399622166107176,0.0849891171851919,336.9436391,"null_pollinators"
4,11,0.0295642607195397,0.0411734953683049,376.8421066,"null_pollinators"
5,6,0.621549496524661,0.0878636534187009,0.09595512,"null_pollinators"
5,7,0.533882862656294,0.0807144508583713,116.4980882,"null_pollinators"
5,8,0.527187822353672,0.0805982802029173,116.4732763,"null_pollinators"
5,9,0.456121763889556,0.0912617329760318,173.8276658,"null_pollinators"
5,11,0.0313451080023061,0.0396646599109364,200.2790495,"null_pollinators"
6,7,0.486505164732234,0.0819123155131495,116.4480545,"null_pollinators"
6,8,0.481414783324293,0.0836529443544022,116.4231775,"null_pollinators"
6,9,0.419025780796356,0.0916342869494713,173.7791593,"null_pollinators"
6,11,0.0324514737143499,0.0422147402638573,200.2521231,"null_pollinators"
7,8,0.733279509382,0.0773581145735056,0.095901643,"null_pollinators"
7,9,0.422534800555556,0.0739852160358218,57.39105093,"null_pollinators"
7,11,0.0284395809868475,0.036106478444267,92.94379946,"null_pollinators"
7,12,0.0224613969977185,0.0321764456622694,92.98262174,"null_pollinators"
7,13,0.0182171880907063,0.0282303051995923,172.7022428,"null_pollinators"
8,9,0.481856513198069,0.0820748559167267,57.4211674,"null_pollinators"
8,11,0.0295516711731969,0.0382892326487247,93.01648528,"null_pollinators"
8,12,0.0246337689474502,0.0346349777390759,93.05534728,"null_pollinators"
8,13,0.0197952894209234,0.0311736040423881,172.7785189,"null_pollinators"
9,11,0.0350974995197814,0.0482402673043331,52.80377965,"null_pollinators"
9,12,0.0295835759950927,0.0433126431626213,52.86902752,"null_pollinators"
9,13,0.0246076125184249,0.0418505756525496,129.4906054,"null_pollinators"
10,11,0.42801142487973,0.105320064098076,52.63394478,"null_pollinators"
10,12,0.413240634782314,0.104467310697828,52.69921787,"null_pollinators"
10,13,0.236397024801824,0.0990383855227355,129.3138797,"null_pollinators"
11,12,0.770550155400155,0.13050493381295,0.070701802,"null_pollinators"
11,13,0.389196357808858,0.145951992804288,80.1155239,"null_pollinators"
12,13,0.454054513542014,0.134202026790388,80.06946551,"null_pollinators"
13,14,0.518571880896881,0.153149952991441,0.093399466,"null_pollinators"
1,2,0.658213572820779,0.0850401963259282,0.505679714,"null_plants"
1,3,0.363888153423279,0.062842717254194,305.0290863,"null_plants"
1,4,0.389753786075792,0.0657870441339827,305.0142086,"null_plants"
1,5,0.31676354393143,0.0629540148963235,244.1261002,"null_plants"
1,6,0.340685507963401,0.0608046350192551,244.2182947,"null_plants"
1,7,0.389920948819518,0.0701477906969004,339.3176653,"null_plants"
1,8,0.367906432851495,0.0734181661478294,339.3409395,"null_plants"
1,9,0.345818195101813,0.0706115997942275,389.0412745,"null_plants"
1,10,0.364739648622557,0.0596601510834026,389.0816723,"null_plants"
1,11,0.335920296237266,0.0642305816844506,390.0210886,"null_plants"
1,12,0.359540977078243,0.0578850436268404,389.9995747,"null_plants"
1,13,0.270229684164525,0.0619208359733894,437.3667753,"null_plants"
2,3,0.400728374728397,0.0610253481723686,305.48351,"null_plants"
2,4,0.425686564139704,0.0663522606558188,305.4685845,"null_plants"
2,5,0.346579241493005,0.0630776145055177,244.3428621,"null_plants"
2,6,0.333946905797962,0.0584793415252108,244.4351061,"null_plants"
2,7,0.379327798219274,0.0686764892900182,339.4225451,"null_plants"
2,8,0.380203508691063,0.0738529472776763,339.4459549,"null_plants"
2,9,0.340397728924058,0.0699580375921645,389.1067971,"null_plants"
2,10,0.384930468075249,0.0606162904299972,389.146973,"null_plants"
2,11,0.323754139484404,0.0652970467801611,390.0182084,"null_plants"
2,12,0.382711261102932,0.0570917603302515,389.9966073,"null_plants"
2,13,0.26077674978134,0.0601545720815568,437.2850066,"null_plants"
3,4,0.782890018608095,0.0576929231677006,0.067363151,"null_plants"
3,5,0.439693088285759,0.0615461318583444,190.5172168,"null_plants"
3,6,0.430878203042864,0.0617129987103787,190.493473,"null_plants"
3,7,0.414261797075844,0.0643065418840373,284.29192,"null_plants"
3,8,0.425607678421978,0.0627619063536048,284.2256416,"null_plants"
3,9,0.368166255088465,0.0655275759650208,337.0109202,"null_plants"
3,10,0.402944320418662,0.0589734161547579,337.1673216,"null_plants"
3,11,0.376849134373057,0.0601577933328339,376.9087486,"null_plants"
3,12,0.482999311479101,0.058104570721276,376.9431528,"null_plants"
3,13,0.355301861474427,0.061204481964631,455.6828693,"null_plants"
4,5,0.410120957346093,0.0597892077745018,190.4557312,"null_plants"
4,6,0.401304162847104,0.0576309505237039,190.431974,"null_plants"
4,7,0.438259092007042,0.0663289399342433,284.225063,"null_plants"
4,8,0.395505034465578,0.0620492642213889,284.1587826,"null_plants"
4,9,0.335271796589072,0.0641844592965336,336.9436391,"null_plants"
4,10,0.380209751886402,0.0572136711200793,337.1000413,"null_plants"
4,11,0.32079641452202,0.0591187257843325,376.8421066,"null_plants"
4,12,0.428746890114556,0.0548797430730226,376.8765125,"null_plants"
4,13,0.321115941795774,0.0583062494980917,455.6166148,"null_plants"
5,6,0.749699838705794,0.0655756555511186,0.09595512,"null_plants"
5,7,0.59140686109926,0.0696140829444804,116.4980882,"null_plants"
5,8,0.564188179944709,0.0666882744697887,116.4732763,"null_plants"
5,9,0.458356151294281,0.0607131280604754,173.8276658,"null_plants"
5,10,0.535795125920364,0.0647885796318008,173.9384686,"null_plants"
5,11,0.41533906688032,0.0588668086584552,200.2790495,"null_plants"
5,12,0.531907427954512,0.0656188801167754,200.2963813,"null_plants"
5,13,0.414726482103536,0.0619964289957994,274.3210892,"null_plants"
6,7,0.632358038273527,0.0681593700731222,116.4480545,"null_plants"
6,8,0.578870875829108,0.0666344300484946,116.4231775,"null_plants"
6,9,0.486635236473915,0.0628491034580233,173.7791593,"null_plants"
6,10,0.513126163144048,0.0596674414817414,173.8900276,"null_plants"
6,11,0.413815369635156,0.0571845629908348,200.2521231,"null_plants"
6,12,0.517961227681271,0.0607085619416791,200.2694864,"null_plants"
6,13,0.404207869058815,0.0620120565597642,274.3063841,"null_plants"
7,8,0.598895193354633,0.066227846977001,0.095901643,"null_plants"
7,9,0.476623417680075,0.0580453260724602,57.39105093,"null_plants"
7,10,0.498509448605165,0.0600029733114924,57.5070912,"null_plants"
7,11,0.439626114374007,0.0603204205044916,92.94379946,"null_plants"
7,12,0.529221772640422,0.0608558443765833,92.98262174,"null_plants"
7,13,0.364569567291859,0.0562094742804688,172.7022428,"null_plants"
8,9,0.593200827612995,0.0696913073832754,57.4211674,"null_plants"
8,10,0.516714114533208,0.0603107122541515,57.53741864,"null_plants"
8,11,0.481362637961286,0.0650301966172939,93.01648528,"null_plants"
8,12,0.482503746006719,0.061391658265924,93.05534728,"null_plants"
8,13,0.371443580536454,0.0664330007032462,172.7785189,"null_plants"
9,10,0.542677745733185,0.0551715908011751,0.176725963,"null_plants"
9,11,0.402356036419224,0.062032192640431,52.80377965,"null_plants"
9,12,0.384060793459725,0.0512456031261716,52.86902752,"null_plants"
9,13,0.365977384011172,0.0648463282480796,129.4906054,"null_plants"
10,11,0.469344412721988,0.0623226624281387,52.63394478,"null_plants"
10,12,0.531818279321381,0.0617889840437116,52.69921787,"null_plants"
10,13,0.405343419362876,0.0584036501790226,129.3138797,"null_plants"
11,12,0.654612771380583,0.0645400594325453,0.070701802,"null_plants"
11,13,0.414538114167323,0.0720524654290053,80.1155239,"null_plants"
12,13,0.443767188058878,0.06218162630736,80.06946551,"null_plants"
13,14,0.58945275955963,0.0745309881365492,0.093399466,"null_plants"
1,2,0.546157900812451,0.100069854816366,0.505679714,"null_both"
1,3,0.477730756715831,0.0970033019216693,305.0290863,"null_both"
1,4,0.476673091110149,0.0941026162269842,305.0142086,"null_both"
1,5,0.483496701588894,0.097276493259898,244.1261002,"null_both"
1,6,0.469530175377852,0.0942057974912888,244.2182947,"null_both"
1,7,0.481604559596009,0.100104110377406,339.3176653,"null_both"
1,8,0.468214160721107,0.096829415109553,339.3409395,"null_both"
1,9,0.357977569636647,0.0920161983982032,389.0412745,"null_both"
1,10,0.0979958744306581,0.0475336418554944,389.0816723,"null_both"
1,11,0.115032697803626,0.0559242539093988,390.0210886,"null_both"
1,12,0.115581982055675,0.0559339340914541,389.9995747,"null_both"
1,13,0.0997799852768032,0.0628645712645897,437.3667753,"null_both"
2,3,0.498934977372739,0.0990431043565464,305.48351,"null_both"
2,4,0.498307976964316,0.0974141307050151,305.4685845,"null_both"
2,5,0.502562976957829,0.0952903043077968,244.3428621,"null_both"
2,6,0.48936323384243,0.0967109393832734,244.4351061,"null_both"
2,7,0.499928112364994,0.0910326655049432,339.4225451,"null_both"
2,8,0.490641933280513,0.0957391027424049,339.4459549,"null_both"
2,9,0.3717737369365,0.089729756433981,389.1067971,"null_both"
2,10,0.0975526829357617,0.0483972204376764,389.146973,"null_both"
2,11,0.113542458210437,0.0543385662041012,390.0182084,"null_both"
2,12,0.114216031781427,0.0560131794372413,389.9966073,"null_both"
2,13,0.0998862999090143,0.0648775023196576,437.2850066,"null_both"
3,4,0.553505720816714,0.0999948290672101,0.067363151,"null_both"
3,5,0.484941193234509,0.0949107015002605,190.5172168,"null_both"
3,6,0.474757371301953,0.0970347102819963,190.493473,"null_both"
3,7,0.477676665119672,0.091351390862023,284.29192,"null_both"
3,8,0.46889822658358,0.0953606489738075,284.2256416,"null_both"
3,9,0.362421585123711,0.0945471925731733,337.0109202,"null_both"
3,10,0.0995164903946775,0.0482738454784275,337.1673216,"null_both"
3,11,0.115912659799933,0.0556432125560653,376.9087486,"null_both"
3,12,0.116273992981787,0.0566356895077013,376.9431528,"null_both"
3,13,0.102906112370343,0.0677921158066725,455.6828693,"null_both"
4,5,0.491500546817898,0.0954024051958625,190.4557312,"null_both"
4,6,0.478438367171583,0.0977126569376289,190.431974,"null_both"
4,7,0.483653006914942,0.0947377715515196,284.225063,"null_both"
4,8,0.473928892328915,0.0951146304933481,284.1587826,"null_both"
4,9,0.37059035400708,0.0928542792638359,336.9436391,"null_both"
4,10,0.100161961673293,0.0495573137388156,337.1000413,"null_both"
4,11,0.117694859373346,0.057931589172624,376.8421066,"null_both"
4,12,0.117681694891823,0.058068521142762,376.8765125,"null_both"
4,13,0.104590998260279,0.0678602389871735,455.6166148,"null_both"
5,6,0.537047865420588,0.096591936686072,0.09595512,"null_both"
5,7,0.512281429454544,0.0895541623497642,116.4980882,"null_both"
5,8,0.498663042933151,0.092437427315967,116.4732763,"null_both"
5,9,0.386799352046975,0.092071980872074,173.8276658,"null_both"
5,10,0.0997089358776626,0.0481770308227541,173.9384686,"null_both"
5,11,0.115963104585865,0.0560937981301221,200.2790495,"null_both"
5,12,0.117519963859266,0.0556925522251788,200.2963813,"null_both"
5,13,0.101428487949218,0.0638575485371046,274.3210892,"null_both"
6,7,0.497582617962652,0.0915398058232111,116.4480545,"null_both"
6,8,0.494385834056254,0.0977873210694332,116.4231775,"null_both"
6,9,0.387026652277629,0.0965330479758698,173.7791593,"null_both"
6,10,0.102365905162544,0.0501305657705868,173.8900276,"null_both"
6,11,0.119893499668248,0.0581546405631321,200.2521231,"null_both"
6,12,0.120338574805503,0.0587588039005148,200.2694864,"null_both"
6,13,0.104343709098463,0.0674524753288988,274.3063841,"null_both"
7,8,0.577321568290379,0.0935572844102461,0.095901643,"null_both"
7,9,0.404089507154906,0.091229523122459,57.39105093,"null_both"
7,10,0.0960092109508406,0.0466342608542906,57.5070912,"null_both"
7,11,0.113256740327308,0.0537159236579566,92.94379946,"null_both"
7,12,0.113890895783996,0.0529264714295733,92.98262174,"null_both"
7,13,0.0971942443414266,0.0610118044707455,172.7022428,"null_both"
8,9,0.42693992257482,0.0922041691752589,57.4211674,"null_both"
8,10,0.0991435393513525,0.0482809462323705,57.53741864,"null_both"
8,11,0.118872582488839,0.0571481983605977,93.01648528,"null_both"
8,12,0.120200699170718,0.0575221114809602,93.05534728,"null_both"
8,13,0.102092268362691,0.0647757745863128,172.7785189,"null_both"
9,10,0.0940982406433598,0.0507290648181455,0.176725963,"null_both"
9,11,0.115055509923376,0.0589781222522112,52.80377965,"null_both"
9,12,0.116781890391196,0.0598203056627902,52.86902752,"null_both"
9,13,0.105798555922386,0.0701937851860576,129.4906054,"null_both"
10,11,0.508581700578702,0.11437058402547,52.63394478,"null_both"
10,12,0.499951408472288,0.110203469636313,52.69921787,"null_both"
10,13,0.358547292336147,0.126928212241423,129.3138797,"null_both"
11,12,0.661677206165867,0.123212148158667,0.070701802,"null_both"
11,13,0.42514855711454,0.150657757506952,80.1155239,"null_both"
12,13,0.437117827885049,0.143819810835075,80.06946551,"null_both"
13,14,0.35655079773168,0.1546793287163,0.093399466,"null_both"
