"","from","to","weight"
"276","5 _ 11","5 _ 159",4
"277","5 _ 11","5 _ 165",2
"278","5 _ 11","5 _ 170",3
"279","5 _ 11","5 _ 179",1
"280","5 _ 11","5 _ 187",3
"281","5 _ 11","5 _ 199",5
"282","5 _ 11","5 _ 239",1
"283","5 _ 12","5 _ 76",1
"284","5 _ 12","5 _ 163",6
"285","5 _ 12","5 _ 275",16
"286","5 _ 16","5 _ 92",1
"287","5 _ 16","5 _ 268",2
"288","5 _ 16","5 _ 275",2
"289","5 _ 17","5 _ 73",3
"290","5 _ 17","5 _ 76",5
"291","5 _ 17","5 _ 217",1
"292","5 _ 17","5 _ 268",2
"293","5 _ 17","5 _ 275",1
"294","5 _ 26","5 _ 44",3
"295","5 _ 26","5 _ 55",4
"296","5 _ 26","5 _ 56",1
"297","5 _ 26","5 _ 60",1
"298","5 _ 26","5 _ 92",1
"299","5 _ 26","5 _ 139",1
"300","5 _ 26","5 _ 163",1
"301","5 _ 26","5 _ 165",3
"302","5 _ 34","5 _ 76",3
"303","5 _ 34","5 _ 92",3
"304","5 _ 34","5 _ 115",3
"305","5 _ 34","5 _ 163",3
"306","5 _ 34","5 _ 199",1
"307","5 _ 35","5 _ 50",1
"308","5 _ 35","5 _ 92",12
"309","5 _ 35","5 _ 174",1
"310","5 _ 35","5 _ 187",2
"311","5 _ 35","5 _ 199",1
"312","5 _ 38","5 _ 76",2
"313","5 _ 38","5 _ 95",1
"314","5 _ 38","5 _ 274",9
"315","5 _ 38","5 _ 275",1
"316","5 _ 38","5 _ 276",1
"317","6 _ 8","6 _ 70",1
"318","6 _ 8","6 _ 92",62
"319","6 _ 8","6 _ 187",2
"320","6 _ 8","6 _ 199",1
"321","6 _ 9","6 _ 50",3
"322","6 _ 9","6 _ 53",1
"323","6 _ 9","6 _ 60",1
"324","6 _ 9","6 _ 76",1
"325","6 _ 9","6 _ 92",43
"326","6 _ 9","6 _ 106",3
"327","6 _ 9","6 _ 111",1
"328","6 _ 9","6 _ 163",1
"329","6 _ 9","6 _ 199",5
"330","6 _ 9","6 _ 251",1
"331","6 _ 9","6 _ 274",70
"332","6 _ 9","6 _ 276",1
"333","6 _ 11","6 _ 40",1
"334","6 _ 11","6 _ 50",4
"335","6 _ 11","6 _ 92",28
"336","6 _ 11","6 _ 159",4
"337","6 _ 11","6 _ 165",1
"338","6 _ 11","6 _ 235",1
"339","6 _ 11","6 _ 239",1
"340","6 _ 12","6 _ 52",1
"341","6 _ 12","6 _ 76",2
"342","6 _ 12","6 _ 92",1
"343","6 _ 12","6 _ 163",1
"344","6 _ 12","6 _ 275",9
"345","6 _ 17","6 _ 42",1
"346","6 _ 17","6 _ 50",10
"347","6 _ 17","6 _ 60",1
"348","6 _ 17","6 _ 76",4
"349","6 _ 17","6 _ 130",1
"350","6 _ 17","6 _ 165",4
"351","6 _ 17","6 _ 203",2
"352","6 _ 17","6 _ 215",3
"353","6 _ 17","6 _ 282",1
"354","6 _ 17","6 _ 284",2
"355","6 _ 19","6 _ 55",6
"356","6 _ 25","6 _ 202",2
"357","6 _ 26","6 _ 44",1
"358","6 _ 26","6 _ 55",9
"359","6 _ 26","6 _ 92",1
"360","6 _ 26","6 _ 165",5
"361","6 _ 26","6 _ 215",1
"362","6 _ 26","6 _ 217",1
"363","6 _ 34","6 _ 60",3
"364","6 _ 34","6 _ 92",10
"365","6 _ 34","6 _ 130",1
"366","6 _ 34","6 _ 163",4
"367","6 _ 34","6 _ 165",3
"368","6 _ 34","6 _ 211",1
"369","6 _ 34","6 _ 270",1
"370","6 _ 35","6 _ 76",2
"371","6 _ 35","6 _ 92",32
"372","6 _ 35","6 _ 112",1
"373","6 _ 35","6 _ 170",3
"374","6 _ 35","6 _ 187",3
"375","7 _ 1","7 _ 199",1
"376","7 _ 1","7 _ 226",1
"377","7 _ 1","7 _ 241",1
"378","7 _ 1","7 _ 274",12
"379","7 _ 7","7 _ 92",2
"380","7 _ 8","7 _ 40",3
"381","7 _ 8","7 _ 92",42
"382","7 _ 8","7 _ 218",1
"383","7 _ 9","7 _ 50",1
"384","7 _ 9","7 _ 87",1
