"layer_from","layer_to","module","number_of_modules"
4,8,"5",12
4,8,"6",12
4,8,"8",12
4,9,"11",9
4,9,"2",9
4,9,"23",9
4,9,"3",9
4,9,"39",9
4,9,"4",9
4,9,"5",9
4,9,"6",9
4,9,"8",9
4,10,"11",9
4,10,"2",9
4,10,"23",9
4,10,"24",9
4,10,"3",9
4,10,"4",9
4,10,"5",9
4,10,"6",9
4,10,"8",9
4,11,"2",7
4,11,"22",7
4,11,"3",7
4,11,"4",7
4,11,"5",7
4,11,"6",7
4,11,"8",7
4,12,"16",9
4,12,"2",9
4,12,"24",9
4,12,"3",9
4,12,"30",9
4,12,"4",9
4,12,"5",9
4,12,"6",9
4,12,"8",9
4,13,"16",6
4,13,"2",6
4,13,"3",6
4,13,"4",6
4,13,"5",6
4,13,"6",6
4,14,"2",5
4,14,"22",5
4,14,"23",5
4,14,"3",5
4,14,"6",5
5,6,"1",18
5,6,"10",18
5,6,"11",18
5,6,"13",18
5,6,"16",18
5,6,"19",18
5,6,"2",18
5,6,"21",18
5,6,"22",18
5,6,"3",18
5,6,"30",18
5,6,"33",18
5,6,"36",18
5,6,"4",18
5,6,"5",18
5,6,"6",18
5,6,"8",18
5,6,"9",18
5,7,"1",16
5,7,"11",16
5,7,"16",16
5,7,"19",16
5,7,"2",16
5,7,"21",16
5,7,"22",16
5,7,"3",16
5,7,"30",16
5,7,"36",16
5,7,"38",16
5,7,"4",16
5,7,"40",16
5,7,"5",16
5,7,"6",16
5,7,"8",16
5,8,"1",20
5,8,"10",20
5,8,"11",20
5,8,"13",20
5,8,"16",20
5,8,"19",20
5,8,"2",20
5,8,"21",20
5,8,"22",20
5,8,"24",20
5,8,"3",20
5,8,"30",20
5,8,"33",20
5,8,"36",20
5,8,"38",20
5,8,"4",20
5,8,"40",20
5,8,"5",20
5,8,"6",20
5,8,"8",20
5,9,"1",12
5,9,"10",12
5,9,"11",12
5,9,"13",12
5,9,"2",12
5,9,"21",12
5,9,"3",12
5,9,"4",12
5,9,"5",12
5,9,"6",12
5,9,"8",12
5,9,"9",12
5,10,"1",14
5,10,"10",14
5,10,"11",14
5,10,"13",14
5,10,"2",14
5,10,"21",14
5,10,"24",14
5,10,"3",14
5,10,"33",14
5,10,"4",14
5,10,"5",14
5,10,"6",14
5,10,"8",14
5,10,"9",14
5,11,"1",11
5,11,"10",11
5,11,"2",11
5,11,"21",11
5,11,"22",11
5,11,"3",11
5,11,"4",11
5,11,"5",11
5,11,"6",11
5,11,"8",11
5,11,"9",11
5,12,"1",14
5,12,"10",14
5,12,"13",14
5,12,"16",14
5,12,"2",14
5,12,"21",14
5,12,"24",14
5,12,"3",14
5,12,"30",14
5,12,"4",14
5,12,"5",14
5,12,"6",14
5,12,"8",14
5,12,"9",14
5,13,"1",11
5,13,"10",11
5,13,"13",11
5,13,"16",11
5,13,"2",11
5,13,"3",11
5,13,"38",11
5,13,"4",11
5,13,"5",11
5,13,"6",11
5,13,"9",11
5,14,"1",7
5,14,"10",7
5,14,"2",7
5,14,"22",7
5,14,"3",7
5,14,"6",7
5,14,"9",7
6,7,"1",14
6,7,"11",14
6,7,"16",14
6,7,"19",14
6,7,"2",14
6,7,"21",14
6,7,"22",14
6,7,"3",14
6,7,"30",14
6,7,"36",14
6,7,"4",14
6,7,"5",14
6,7,"6",14
6,7,"8",14
6,8,"1",17
6,8,"10",17
6,8,"11",17
6,8,"13",17
6,8,"16",17
6,8,"19",17
6,8,"2",17
6,8,"21",17
6,8,"22",17
6,8,"3",17
6,8,"30",17
6,8,"33",17
6,8,"36",17
6,8,"4",17
6,8,"5",17
6,8,"6",17
6,8,"8",17
6,9,"1",13
6,9,"10",13
6,9,"11",13
6,9,"12",13
6,9,"13",13
6,9,"2",13
6,9,"21",13
6,9,"3",13
6,9,"4",13
6,9,"5",13
6,9,"6",13
6,9,"8",13
6,9,"9",13
6,10,"1",14
6,10,"10",14
6,10,"11",14
6,10,"12",14
6,10,"13",14
6,10,"2",14
6,10,"21",14
6,10,"3",14
6,10,"33",14
6,10,"4",14
6,10,"5",14
6,10,"6",14
6,10,"8",14
6,10,"9",14
6,11,"1",11
6,11,"10",11
6,11,"2",11
6,11,"21",11
6,11,"22",11
6,11,"3",11
6,11,"4",11
6,11,"5",11
6,11,"6",11
6,11,"8",11
6,11,"9",11
6,12,"1",13
6,12,"10",13
6,12,"13",13
6,12,"16",13
6,12,"2",13
6,12,"21",13
6,12,"3",13
6,12,"30",13
6,12,"4",13
6,12,"5",13
6,12,"6",13
6,12,"8",13
6,12,"9",13
6,13,"1",11
6,13,"10",11
6,13,"12",11
6,13,"13",11
6,13,"16",11
6,13,"2",11
6,13,"3",11
6,13,"4",11
6,13,"5",11
6,13,"6",11
6,13,"9",11
6,14,"1",8
6,14,"10",8
6,14,"12",8
6,14,"2",8
6,14,"22",8
6,14,"3",8
6,14,"6",8
6,14,"9",8
7,8,"1",25
7,8,"11",25
7,8,"15",25
7,8,"16",25
7,8,"17",25
7,8,"19",25
7,8,"2",25
7,8,"21",25
7,8,"22",25
7,8,"25",25
7,8,"3",25
7,8,"30",25
7,8,"31",25
7,8,"34",25
7,8,"36",25
7,8,"37",25
7,8,"38",25
7,8,"4",25
7,8,"40",25
7,8,"42",25
7,8,"43",25
7,8,"5",25
7,8,"6",25
7,8,"7",25
7,8,"8",25
7,9,"1",11
7,9,"11",11
7,9,"17",11
7,9,"2",11
7,9,"21",11
7,9,"3",11
7,9,"4",11
7,9,"5",11
7,9,"6",11
7,9,"7",11
7,9,"8",11
7,10,"1",11
7,10,"11",11
7,10,"17",11
7,10,"2",11
7,10,"21",11
7,10,"3",11
7,10,"4",11
7,10,"5",11
7,10,"6",11
7,10,"7",11
7,10,"8",11
7,11,"1",13
7,11,"15",13
7,11,"2",13
7,11,"21",13
7,11,"22",13
7,11,"28",13
7,11,"3",13
7,11,"34",13
7,11,"4",13
7,11,"5",13
7,11,"6",13
7,11,"7",13
7,11,"8",13
7,12,"1",13
7,12,"15",13
7,12,"16",13
7,12,"2",13
7,12,"21",13
7,12,"3",13
7,12,"30",13
7,12,"34",13
7,12,"4",13
7,12,"5",13
7,12,"6",13
7,12,"7",13
7,12,"8",13
7,13,"1",10
7,13,"15",10
7,13,"16",10
7,13,"2",10
7,13,"3",10
7,13,"38",10
7,13,"4",10
7,13,"5",10
7,13,"6",10
7,13,"7",10
7,14,"1",5
7,14,"2",5
7,14,"22",5
7,14,"3",5
7,14,"6",5
8,9,"1",13
8,9,"10",13
8,9,"11",13
8,9,"13",13
8,9,"17",13
8,9,"2",13
8,9,"21",13
8,9,"3",13
8,9,"4",13
8,9,"5",13
8,9,"6",13
8,9,"7",13
8,9,"8",13
8,10,"1",15
8,10,"10",15
8,10,"11",15
8,10,"13",15
8,10,"17",15
8,10,"2",15
8,10,"21",15
8,10,"24",15
8,10,"3",15
8,10,"33",15
8,10,"4",15
8,10,"5",15
8,10,"6",15
8,10,"7",15
8,10,"8",15
8,11,"1",13
8,11,"10",13
8,11,"15",13
8,11,"2",13
8,11,"21",13
8,11,"22",13
8,11,"3",13
8,11,"34",13
8,11,"4",13
8,11,"5",13
8,11,"6",13
8,11,"7",13
8,11,"8",13
8,12,"1",16
8,12,"10",16
8,12,"13",16
8,12,"15",16
8,12,"16",16
8,12,"2",16
8,12,"21",16
8,12,"24",16
8,12,"3",16
8,12,"30",16
8,12,"34",16
8,12,"4",16
8,12,"5",16
8,12,"6",16
8,12,"7",16
8,12,"8",16
8,13,"1",12
8,13,"10",12
8,13,"13",12
8,13,"15",12
8,13,"16",12
8,13,"2",12
8,13,"3",12
8,13,"38",12
8,13,"4",12
8,13,"5",12
8,13,"6",12
8,13,"7",12
8,14,"1",6
8,14,"10",6
8,14,"2",6
8,14,"22",6
8,14,"3",6
8,14,"6",6
9,10,"1",17
9,10,"10",17
9,10,"11",17
9,10,"12",17
9,10,"13",17
9,10,"17",17
9,10,"2",17
9,10,"20",17
9,10,"21",17
9,10,"23",17
9,10,"3",17
9,10,"4",17
9,10,"5",17
9,10,"6",17
9,10,"7",17
9,10,"8",17
9,10,"9",17
9,11,"1",12
9,11,"10",12
9,11,"2",12
9,11,"20",12
9,11,"21",12
9,11,"3",12
9,11,"4",12
9,11,"5",12
9,11,"6",12
9,11,"7",12
9,11,"8",12
9,11,"9",12
9,12,"1",12
9,12,"10",12
9,12,"13",12
9,12,"2",12
9,12,"21",12
9,12,"3",12
9,12,"4",12
9,12,"5",12
9,12,"6",12
9,12,"7",12
9,12,"8",12
9,12,"9",12
9,13,"1",12
9,13,"10",12
9,13,"12",12
9,13,"13",12
9,13,"2",12
9,13,"20",12
9,13,"3",12
9,13,"4",12
9,13,"5",12
9,13,"6",12
9,13,"7",12
9,13,"9",12
9,14,"1",9
9,14,"10",9
9,14,"12",9
9,14,"2",9
9,14,"20",9
9,14,"23",9
9,14,"3",9
9,14,"6",9
9,14,"9",9
10,11,"1",12
10,11,"10",12
10,11,"2",12
10,11,"20",12
10,11,"21",12
10,11,"3",12
10,11,"4",12
10,11,"5",12
10,11,"6",12
10,11,"7",12
10,11,"8",12
10,11,"9",12
10,12,"1",13
10,12,"10",13
10,12,"13",13
10,12,"2",13
10,12,"21",13
10,12,"24",13
10,12,"3",13
10,12,"4",13
10,12,"5",13
10,12,"6",13
10,12,"7",13
10,12,"8",13
10,12,"9",13
10,13,"1",12
10,13,"10",12
10,13,"12",12
10,13,"13",12
10,13,"2",12
10,13,"20",12
10,13,"3",12
10,13,"4",12
10,13,"5",12
10,13,"6",12
10,13,"7",12
10,13,"9",12
10,14,"1",9
10,14,"10",9
10,14,"12",9
10,14,"2",9
10,14,"20",9
10,14,"23",9
10,14,"3",9
10,14,"6",9
10,14,"9",9
11,12,"1",13
11,12,"10",13
11,12,"15",13
11,12,"2",13
11,12,"21",13
11,12,"3",13
11,12,"34",13
11,12,"4",13
11,12,"5",13
11,12,"6",13
11,12,"7",13
11,12,"8",13
11,12,"9",13
11,13,"1",11
11,13,"10",11
11,13,"15",11
11,13,"2",11
11,13,"20",11
11,13,"3",11
11,13,"4",11
11,13,"5",11
11,13,"6",11
11,13,"7",11
11,13,"9",11
11,14,"1",8
11,14,"10",8
11,14,"2",8
11,14,"20",8
11,14,"22",8
11,14,"3",8
11,14,"6",8
11,14,"9",8
12,13,"1",12
12,13,"10",12
12,13,"13",12
12,13,"15",12
12,13,"16",12
12,13,"2",12
12,13,"3",12
12,13,"4",12
12,13,"5",12
12,13,"6",12
12,13,"7",12
12,13,"9",12
12,14,"1",6
12,14,"10",6
12,14,"2",6
12,14,"3",6
12,14,"6",6
12,14,"9",6
13,14,"1",8
13,14,"10",8
13,14,"12",8
13,14,"2",8
13,14,"20",8
13,14,"3",8
13,14,"6",8
13,14,"9",8
