"layer_from","node_from","layer_to","node_to","weight"
"Fuerteventura1","Euphorbia.balsamifera..f.","Hierro1","Euphorbia.balsamifera..f.",0.323119169646641
"Fuerteventura1","Euphorbia.balsamifera..f.","Hierro2","Euphorbia.balsamifera..f.",0.323116241773283
"Fuerteventura1","Euphorbia.balsamifera..m.","Fuerteventura2","Euphorbia.balsamifera..m.",1
"Fuerteventura1","Euphorbia.balsamifera..m.","GranCanaria1","Euphorbia.balsamifera..m.",0.346296433735441
"Fuerteventura1","Euphorbia.balsamifera..m.","GranCanaria2","Euphorbia.balsamifera..m.",0.346299983923273
"Fuerteventura1","Euphorbia.balsamifera..m.","TenerifeSouth1","Euphorbia.balsamifera..m.",0.335258771827668
"Fuerteventura1","Euphorbia.balsamifera..m.","TenerifeSouth2","Euphorbia.balsamifera..m.",0.335264996754792
"Fuerteventura1","Euphorbia.balsamifera..m.","TenerifeTeno1","Euphorbia.balsamifera..m.",0.330777886998271
"Fuerteventura1","Euphorbia.balsamifera..m.","TenerifeTeno2","Euphorbia.balsamifera..m.",0.330765829400474
"Fuerteventura1","Euphorbia.balsamifera..m.","Gomera1","Euphorbia.balsamifera..m.",0.327895433788045
"Fuerteventura1","Euphorbia.balsamifera..m.","Gomera2","Euphorbia.balsamifera..m.",0.327893102849331
"Fuerteventura1","Euphorbia.balsamifera..m.","Hierro1","Euphorbia.balsamifera..m.",0.323119169646641
"Fuerteventura1","Euphorbia.balsamifera..m.","Hierro2","Euphorbia.balsamifera..m.",0.323116241773283
"Fuerteventura1","Helianthemum.canariensis","Fuerteventura2","Helianthemum.canariensis",1
"Fuerteventura1","Helianthemum.canariensis","TenerifeSouth1","Helianthemum.canariensis",0.335258771827668
"Fuerteventura1","Helianthemum.canariensis","TenerifeSouth2","Helianthemum.canariensis",0.335264996754792
"Fuerteventura1","Launaea.arborescens","Fuerteventura2","Launaea.arborescens",1
"Fuerteventura1","Launaea.arborescens","GranCanaria1","Launaea.arborescens",0.346296433735441
"Fuerteventura1","Launaea.arborescens","GranCanaria2","Launaea.arborescens",0.346299983923273
"Fuerteventura1","Launaea.arborescens","TenerifeSouth1","Launaea.arborescens",0.335258771827668
"Fuerteventura1","Launaea.arborescens","TenerifeSouth2","Launaea.arborescens",0.335264996754792
"Fuerteventura1","Launaea.arborescens","TenerifeTeno1","Launaea.arborescens",0.330777886998271
"Fuerteventura1","Launaea.arborescens","TenerifeTeno2","Launaea.arborescens",0.330765829400474
"Fuerteventura1","Launaea.arborescens","Gomera1","Launaea.arborescens",0.327895433788045
"Fuerteventura1","Launaea.arborescens","Gomera2","Launaea.arborescens",0.327893102849331
"Fuerteventura1","Lycium.intricatum","Fuerteventura2","Lycium.intricatum",1
"Fuerteventura1","Lycium.intricatum","GranCanaria1","Lycium.intricatum",0.346296433735441
"Fuerteventura1","Lycium.intricatum","GranCanaria2","Lycium.intricatum",0.346299983923273
"Fuerteventura1","Lycium.intricatum","TenerifeSouth1","Lycium.intricatum",0.335258771827668
"Fuerteventura1","Lycium.intricatum","TenerifeSouth2","Lycium.intricatum",0.335264996754792
"Fuerteventura1","Lycium.intricatum","TenerifeTeno1","Lycium.intricatum",0.330777886998271
"Fuerteventura1","Lycium.intricatum","TenerifeTeno2","Lycium.intricatum",0.330765829400474
"Fuerteventura1","Lycium.intricatum","Gomera2","Lycium.intricatum",0.327893102849331
"Fuerteventura1","Phagnalon.purpurascens","Fuerteventura2","Phagnalon.purpurascens",1
"Fuerteventura1","Salvia.aegyptiaca","Gomera2","Salvia.aegyptiaca",0.327893102849331
"Fuerteventura2","Euphorbia.balsamifera..f.","GranCanaria1","Euphorbia.balsamifera..f.",0.346305628161504
"Fuerteventura2","Euphorbia.balsamifera..f.","GranCanaria2","Euphorbia.balsamifera..f.",0.3463091816886
"Fuerteventura2","Euphorbia.balsamifera..f.","TenerifeSouth1","Euphorbia.balsamifera..f.",0.335265051104835
"Fuerteventura2","Euphorbia.balsamifera..f.","TenerifeSouth2","Euphorbia.balsamifera..f.",0.335271277917577
"Fuerteventura2","Euphorbia.balsamifera..f.","TenerifeTeno1","Euphorbia.balsamifera..f.",0.330783075954346
"Fuerteventura2","Euphorbia.balsamifera..f.","TenerifeTeno2","Euphorbia.balsamifera..f.",0.330771015509484
"Fuerteventura2","Euphorbia.balsamifera..f.","Gomera1","Euphorbia.balsamifera..f.",0.327899949588047
"Fuerteventura2","Euphorbia.balsamifera..f.","Gomera2","Euphorbia.balsamifera..f.",0.327897618057734
"Fuerteventura2","Euphorbia.balsamifera..f.","Hierro1","Euphorbia.balsamifera..f.",0.323122775618451
"Fuerteventura2","Euphorbia.balsamifera..f.","Hierro2","Euphorbia.balsamifera..f.",0.323119847357405
"Fuerteventura2","Euphorbia.balsamifera..m.","GranCanaria1","Euphorbia.balsamifera..m.",0.346305628161504
"Fuerteventura2","Euphorbia.balsamifera..m.","GranCanaria2","Euphorbia.balsamifera..m.",0.3463091816886
"Fuerteventura2","Euphorbia.balsamifera..m.","TenerifeSouth1","Euphorbia.balsamifera..m.",0.335265051104835
"Fuerteventura2","Euphorbia.balsamifera..m.","TenerifeSouth2","Euphorbia.balsamifera..m.",0.335271277917577
"Fuerteventura2","Euphorbia.balsamifera..m.","TenerifeTeno1","Euphorbia.balsamifera..m.",0.330783075954346
"Fuerteventura2","Euphorbia.balsamifera..m.","TenerifeTeno2","Euphorbia.balsamifera..m.",0.330771015509484
"Fuerteventura2","Euphorbia.balsamifera..m.","Gomera1","Euphorbia.balsamifera..m.",0.327899949588047
"Fuerteventura2","Euphorbia.balsamifera..m.","Gomera2","Euphorbia.balsamifera..m.",0.327897618057734
"Fuerteventura2","Euphorbia.balsamifera..m.","Hierro1","Euphorbia.balsamifera..m.",0.323122775618451
"Fuerteventura2","Euphorbia.balsamifera..m.","Hierro2","Euphorbia.balsamifera..m.",0.323119847357405
"Fuerteventura2","Helianthemum.canariensis","TenerifeSouth1","Helianthemum.canariensis",0.335265051104835
"Fuerteventura2","Helianthemum.canariensis","TenerifeSouth2","Helianthemum.canariensis",0.335271277917577
