"layer_from","layer_to","ave_distance","turnover","trial"
1,10,389081.6723,0.448275862068966,132
1,10,389081.6723,0.576923076923077,644
1,10,389081.6723,0.75,101
1,10,389081.6723,0.59375,525
1,10,389081.6723,0.64,905
1,10,389081.6723,0.588235294117647,243
1,10,389081.6723,0.620689655172414,786
1,10,389081.6723,0.411764705882353,848
1,10,389081.6723,0.620689655172414,156
1,10,389081.6723,0.612903225806452,991
1,10,389081.6723,0.483870967741935,773
1,10,389081.6723,0.586206896551724,318
1,10,389081.6723,0.653846153846154,417
1,10,389081.6723,0.642857142857143,261
1,10,389081.6723,0.586206896551724,698
1,10,389081.6723,0.517241379310345,142
1,10,389081.6723,0.424242424242424,111
1,10,389081.6723,0.607142857142857,778
1,10,389081.6723,0.5,846
1,10,389081.6723,0.551724137931034,641
1,10,389081.6723,0.515151515151515,747
1,10,389081.6723,0.441176470588235,73
1,10,389081.6723,0.615384615384615,279
1,10,389081.6723,0.545454545454545,590
1,10,389081.6723,0.633333333333333,951
1,10,389081.6723,0.730769230769231,746
1,10,389081.6723,0.633333333333333,540
1,10,389081.6723,0.692307692307692,246
1,10,389081.6723,0.533333333333333,783
1,10,389081.6723,0.633333333333333,646
1,10,389081.6723,0.46875,814
1,10,389081.6723,0.576923076923077,639
1,10,389081.6723,0.633333333333333,152
1,10,389081.6723,0.777777777777778,245
1,10,389081.6723,0.606060606060606,563
1,10,389081.6723,0.580645161290323,158
1,10,389081.6723,0.393939393939394,289
1,10,389081.6723,0.791666666666667,114
1,10,389081.6723,0.46875,413
1,10,389081.6723,0.551724137931034,987
1,10,389081.6723,0.548387096774194,8
1,10,389081.6723,0.655172413793103,700
1,10,389081.6723,0.653846153846154,263
1,10,389081.6723,0.571428571428571,157
1,10,389081.6723,0.558823529411765,537
1,10,389081.6723,0.551724137931034,325
1,10,389081.6723,0.64,568
1,10,389081.6723,0.518518518518518,643
1,10,389081.6723,0.576923076923077,31
1,10,389081.6723,0.470588235294118,767
1,10,389081.6723,0.724137931034483,630
1,10,389081.6723,0.516129032258065,736
1,10,389081.6723,0.4375,910
1,10,389081.6723,0.59375,43
1,10,389081.6723,0.535714285714286,785
1,10,389081.6723,0.5625,105
1,10,389081.6723,0.645161290322581,74
1,10,389081.6723,0.5,772
1,10,389081.6723,0.633333333333333,248
1,10,389081.6723,0.692307692307692,198
1,10,389081.6723,0.571428571428571,92
1,10,389081.6723,0.724137931034483,834
1,10,389081.6723,0.620689655172414,35
1,10,389081.6723,0.612903225806452,110
1,10,389081.6723,0.592592592592593,989
1,10,389081.6723,0.454545454545455,378
1,10,389081.6723,0.457142857142857,640
1,10,389081.6723,0.518518518518518,209
1,10,389081.6723,0.576923076923077,234
1,10,389081.6723,0.551724137931034,702
1,10,389081.6723,0.535714285714286,844
1,10,389081.6723,0.606060606060606,146
1,10,389081.6723,0.689655172413793,102
1,10,389081.6723,0.555555555555556,208
1,10,389081.6723,0.5,283
1,10,389081.6723,0.606060606060606,252
1,10,389081.6723,0.636363636363636,133
1,10,389081.6723,0.642857142857143,108
1,10,389081.6723,0.678571428571429,270
1,10,389081.6723,0.64,906
1,10,389081.6723,0.419354838709677,232
1,10,389081.6723,0.555555555555556,787
1,10,389081.6723,0.5,120
1,10,389081.6723,0.666666666666667,288
1,10,389081.6723,0.769230769230769,257
1,10,389081.6723,0.62962962962963,774
1,10,389081.6723,0.551724137931034,350
1,10,389081.6723,0.65625,200
1,10,389081.6723,0.516129032258065,674
1,10,389081.6723,0.606060606060606,836
1,10,389081.6723,0.607142857142857,536
1,10,389081.6723,0.576923076923077,112
1,10,389081.6723,0.4375,6
1,10,389081.6723,0.6,355
1,10,389081.6723,0.62962962962963,642
1,10,389081.6723,0.655172413793103,748
1,10,389081.6723,0.580645161290323,629
1,10,389081.6723,0.53125,492
1,10,389081.6723,0.393939393939394,529
1,10,389081.6723,0.692307692307692,42
1,10,389081.6723,0.483870967741935,828
1,10,389081.6723,0.517241379310345,360
1,10,389081.6723,0.514285714285714,241
1,10,389081.6723,0.612903225806452,391
1,10,389081.6723,0.484848484848485,634
1,10,389081.6723,0.633333333333333,322
1,10,389081.6723,0.620689655172414,740
1,10,389081.6723,0.653846153846154,939
1,10,389081.6723,0.566666666666667,789
1,10,389081.6723,0.518518518518518,533
1,10,389081.6723,0.571428571428571,3
1,10,389081.6723,0.678571428571429,122
1,10,389081.6723,0.62962962962963,34
1,10,389081.6723,0.428571428571429,758
1,10,389081.6723,0.4375,202
