"estimate","p_val","statistic","confidence_int_low","confidence_int_high","slope","intercept","rsquared","trial_num"
-0.800192828287212,4.00998500512503e-35,-16.3408722377427,-0.850985424768004,-0.734569913096273,-0.0011358605350383,0.572814884442105,0.637910619525237,575
-0.838784308750416,1.92168395826875e-41,-18.8680438806153,-0.880418307355965,-0.784317481486894,-0.00121810422127347,0.604282777546716,0.701582844049953,576
-0.901266868211818,2.34751753838138e-56,-25.4768681259506,-0.927401808850745,-0.866375770066095,-0.00112669566157814,0.60579769102135,0.811030514187915,577
-0.911449078688792,9.87516212180541e-60,-27.1331447276229,-0.934980931128663,-0.879929008828856,-0.00130343700582196,0.596028530486881,0.829611019196266,578
-0.934264750719486,4.63289854863375e-69,-32.0891694925562,-0.951886098720696,-0.91048568755247,-0.00121283856699474,0.581885425511976,0.872002961933189,579
-0.866804123305048,3.49561838030318e-47,-21.289812273384,-0.901589270205972,-0.82088166366556,-0.00113793106877649,0.58721662768677,0.749691717433159,580
-0.824838167847717,5.5623358416352e-39,-17.8682681313932,-0.869818777650365,-0.766258568277552,-0.00101750353134253,0.584023822681692,0.678227056492635,581
-0.794592996440807,2.5407644773581e-34,-16.0287536621138,-0.846687882135238,-0.727409412650058,-0.00103547020516707,0.57345519576112,0.628920550192733,582
-0.853247746447917,2.95055674806209e-44,-20.0383357713764,-0.891367227664384,-0.803144266359145,-0.00105281457076323,0.580881762210481,0.726218594930573,583
-0.864026550664238,1.47449876283941e-46,-21.0193660407474,-0.899498030332502,-0.817240208766939,-0.00144667181555229,0.698881282503787,0.744852159454426,584
-0.811134712051974,9.12687153988346e-37,-16.985845401971,-0.859363094319232,-0.748603600152389,-0.000975057759186359,0.523773978919797,0.655659117902943,585
-0.870994527896298,3.74368671435938e-48,-21.7130449371273,-0.904741160392932,-0.826382445615922,-0.00120719243100509,0.593919885966372,0.75702234407613,586
-0.939318314056498,1.38989774141815e-71,-33.5355204616108,-0.955616061244874,-0.917289156335905,-0.00131507607551084,0.617593614915019,0.881534354422756,587
-0.814647335024798,2.57095710476813e-37,-17.2036158243777,-0.862047060952286,-0.753120682671228,-0.00115433073973662,0.584820730020007,0.661407948999427,588
-0.824264914372893,6.94615495098423e-39,-17.8295036094803,-0.869382195718391,-0.76551823508949,-0.000990100725416189,0.568729216509723,0.677275400059927,589
-0.777092518955655,5.73382377143021e-32,-15.1217138699628,-0.833213337305311,-0.705125481278904,-0.00091093456764266,0.539173143574046,0.601231934903625,590
